Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,244M,319M,12M,737M,706M
Cash & Short Term Investments Growth,-,30.74%,-96.24%,"6,041.67%",-4.21%
Cash Only,244M,319M,12M,737M,706M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.33%,3.02%,0.12%,6.90%,6.44%
Total Accounts Receivable,1.61B,1.57B,1.41B,1.51B,1.61B
Total Accounts Receivable Growth,-,-1.99%,-10.68%,7.62%,6.22%
"Accounts Receivables, Net",1.49B,1.47B,1.04B,1.38B,1.48B
"Accounts Receivables, Gross",1.51B,1.49B,1.06B,1.39B,1.48B
Bad Debt/Doubtful Accounts,(20M),(20M),(18M),(7M),(9M)
Other Receivable,114M,99M,367M,130M,131M
Accounts Receivable Turnover,6.09,6.06,4.65,4.21,3.84
Inventories,994M,1.07B,913M,915M,1B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,871M,992M,1.24B,596M,616M
Miscellaneous Current Assets,871M,992M,1.24B,596M,616M
Total Current Assets,3.71B,3.96B,3.57B,3.76B,3.93B
"Net Property, Plant & Equipment",651M,762M,1.02B,1.2B,1.23B
"Property, Plant & Equipment - Gross",1.27B,1.44B,1.84B,2.09B,2.14B
Buildings,346M,382M,647M,667M,694M
Land & Improvements,7M,7M,14M,14M,13M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,621M,676M,820M,882M,902M
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.42B,5.17B,5.11B,5.25B,5.25B
Net Goodwill,4.6B,4.6B,4.6B,4.6B,4.6B
Net Other Intangibles,812M,569M,503M,651M,649M
Other Assets,714M,659M,421M,464M,272M
Total Assets,10.49B,10.55B,10.11B,10.68B,10.96B
Total Assets Growth,-,0.51%,-4.16%,5.66%,2.57%
