Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,168M,289M,142M,1.68B,152M
Cash & Short Term Investments Growth,-,72.02%,-50.87%,"1,083.10%",-90.95%
Cash Only,168M,289M,142M,1.68B,152M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.36%,0.61%,0.31%,3.38%,0.30%
Total Accounts Receivable,992M,996M,999M,1.98B,2.72B
Total Accounts Receivable Growth,-,0.40%,0.30%,98.00%,37.66%
"Accounts Receivables, Net",858M,890M,892M,1.45B,1.77B
"Accounts Receivables, Gross",867M,896M,893M,1.46B,1.78B
Bad Debt/Doubtful Accounts,(9M),(6M),(1M),(8M),(6M)
Other Receivable,134M,106M,107M,527M,952M
Accounts Receivable Turnover,8.76,8.23,7.73,5.34,4.17
Inventories,130M,125M,136M,379M,320M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,174M,170M,152M,512M,602M
Miscellaneous Current Assets,174M,170M,152M,512M,602M
Total Current Assets,1.46B,1.58B,1.43B,4.55B,3.8B
"Net Property, Plant & Equipment",27.5B,29.41B,29.11B,29.42B,31.05B
"Property, Plant & Equipment - Gross",38.66B,41.72B,42.67B,44.34B,47.22B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",4.28B,4.9B,5.32B,5.4B,5.79B
Accumulated Depreciation,11.16B,12.31B,13.56B,14.93B,16.17B
Total Investments and Advances,7.82B,6.24B,5.16B,5.13B,5.07B
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,7.77B,7.96B,7.44B,7.4B,7.36B
Net Goodwill,-,188M,-,-,-
Net Other Intangibles,7.77B,7.77B,7.44B,7.4B,7.36B
Other Assets,746M,859M,1.02B,1.12B,1.16B
Total Assets,46.42B,47.67B,46.22B,49.76B,50.64B
Total Assets Growth,-,2.70%,-3.05%,7.66%,1.77%
