Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.26B,1B,1.25B,1.87B,1.33B
Cash & Short Term Investments Growth,-,-20.37%,25.27%,49.44%,-29.30%
Cash Only,1.26B,1B,1.25B,1.87B,1.33B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.36%,9.41%,11.53%,15.37%,10.34%
Total Accounts Receivable,2.44B,2.54B,2.38B,2.53B,2.57B
Total Accounts Receivable Growth,-,3.77%,-6.31%,6.61%,1.58%
"Accounts Receivables, Net",2.31B,2.46B,2.32B,2.49B,2.54B
"Accounts Receivables, Gross",2.36B,2.52B,2.4B,2.56B,2.6B
Bad Debt/Doubtful Accounts,(51M),(63M),(75M),(70M),(61M)
Other Receivable,138M,77M,52M,41M,33M
Accounts Receivable Turnover,3.01,3.11,3.12,3.23,3.54
Inventories,356M,447M,508M,788M,1.06B
Finished Goods,206M,209M,271M,268M,354M
Work in Progress,-,-,-,-,-
Raw Materials,293M,374M,360M,643M,829M
Progress Payments & Other,(143M),(136M),(123M),(123M),(128M)
Other Current Assets,186M,171M,167M,188M,242M
Miscellaneous Current Assets,186M,171M,167M,188M,242M
Total Current Assets,4.24B,4.15B,4.3B,5.38B,5.19B
"Net Property, Plant & Equipment",895M,1.55B,1.49B,1.42B,1.41B
"Property, Plant & Equipment - Gross",2.26B,3.03B,3.19B,3.3B,3.25B
Buildings,-,-,-,-,-
Land & Improvements,10M,15M,6M,5M,5M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",362M,410M,439M,474M,456M
Accumulated Depreciation,1.36B,1.48B,1.7B,1.88B,1.84B
Total Investments and Advances,174M,163M,172M,216M,162M
Other Long-Term Investments,162M,143M,156M,192M,150M
Long-Term Note Receivables,137M,107M,105M,124M,130M
Intangible Assets,2.74B,3.39B,3.45B,3.67B,4.65B
Net Goodwill,1.51B,2.07B,2.22B,2.57B,3.31B
Net Other Intangibles,1.23B,1.33B,1.23B,1.11B,1.34B
Other Assets,232M,335M,386M,457M,226M
Total Assets,9.41B,10.64B,10.88B,12.19B,12.81B
Total Assets Growth,-,13.10%,2.20%,12.07%,5.13%
