Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,2.86B,2.4B,5.15B,3.28B,4.88B
Cash & Short Term Investments Growth,-,-16.17%,114.62%,-36.39%,48.84%
Cash Only,2.76B,2.38B,5.11B,3.03B,3.94B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,3.42%,3.97%,8.38%,5.20%,8.05%
Total Accounts Receivable,9.05B,7.6B,7.45B,9.59B,7.8B
Total Accounts Receivable Growth,-,-16.10%,-1.95%,28.73%,-18.62%
"Accounts Receivables, Net",5.67B,4.89B,4.9B,6.88B,5.66B
"Accounts Receivables, Gross",5.71B,4.93B,4.95B,6.93B,5.77B
Bad Debt/Doubtful Accounts,(42M),(45M),(51M),(54M),(110M)
Other Receivable,3.39B,2.71B,2.55B,2.71B,2.14B
Accounts Receivable Turnover,5.48,5.65,5.17,5.73,7.29
Inventories,6.9B,6.21B,5.7B,7.37B,6.99B
Finished Goods,4.31B,3.51B,3.14B,4.55B,4.15B
Work in Progress,1.34B,1.12B,996M,1.62B,1.48B
Raw Materials,1.5B,1.47B,1.53B,1.69B,1.85B
Progress Payments & Other,(249M),114M,34M,(485M),(484M)
Other Current Assets,20.55B,604M,782M,610M,807M
Miscellaneous Current Assets,20.55B,604M,782M,610M,807M
Total Current Assets,39.37B,16.82B,19.08B,20.85B,20.48B
"Net Property, Plant & Equipment",21.42B,23.07B,22.1B,21.97B,21.67B
"Property, Plant & Equipment - Gross",53.98B,56.98B,58.18B,59.02B,59.28B
Buildings,4.75B,4.74B,4.98B,5.11B,5.05B
Land & Improvements,2.06B,2.18B,2.01B,2.05B,2.13B
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",5.08B,5.35B,5.63B,6.29B,6.62B
Accumulated Depreciation,32.57B,33.91B,36.09B,37.05B,37.61B
Total Investments and Advances,6.34B,5.08B,4.17B,5.25B,4.38B
Other Long-Term Investments,3.02B,3.68B,2.84B,3.2B,2.79B
Long-Term Note Receivables,1M,4M,476M,504M,682M
Intangible Assets,14.07B,12.56B,12.26B,11.65B,11.09B
Net Goodwill,9.85B,8.8B,8.91B,8.76B,8.64B
Net Other Intangibles,4.23B,3.76B,3.35B,2.88B,2.44B
Other Assets,717M,789M,1.17B,1.42B,1.35B
Total Assets,83.7B,60.52B,61.47B,62.99B,60.6B
Total Assets Growth,-,-27.69%,1.56%,2.47%,-3.79%
