Item,2019,2020,2021,2022,2023
Cash & Short Term Investments,1.56B,2.58B,8.51B,5.91B,2.23B
Cash & Short Term Investments Growth,-,65.62%,230.27%,-30.55%,-62.29%
Cash Only,1.56B,767M,867M,926M,886M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,3.77%,6.02%,16.61%,10.98%,4.18%
Total Accounts Receivable,1.1B,962M,1.14B,1.35B,1.7B
Total Accounts Receivable Growth,-,-12.55%,17.98%,19.21%,25.28%
"Accounts Receivables, Net",468M,464M,504M,518M,526M
"Accounts Receivables, Gross",468M,464M,504M,518M,526M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,632M,498M,631M,835M,1.17B
Accounts Receivable Turnover,68.51,81.20,82.43,78.35,64.38
Inventories,9.5B,8.99B,10.65B,13.9B,13.5B
Finished Goods,9.5B,8.99B,10.65B,13.9B,13.5B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,366M,371M,457M,407M,423M
Miscellaneous Current Assets,209M,217M,286M,237M,235M
Total Current Assets,12.52B,12.9B,20.76B,21.57B,17.85B
"Net Property, Plant & Equipment",27.5B,28.52B,29.11B,30.74B,34.17B
"Property, Plant & Equipment - Gross",46.19B,48.18B,49.38B,51.87B,56.8B
Buildings,29.24B,30.6B,31.56B,32.99B,34.75B
Land & Improvements,6.06B,6.04B,6.14B,6.16B,6.23B
Computer Software and Equipment,2.54B,2.69B,2.77B,2.51B,3.04B
"Other Property, Plant & Equipment",5.91B,6.08B,5.91B,6.41B,7.44B
Accumulated Depreciation,18.69B,19.66B,20.28B,21.14B,22.63B
Total Investments and Advances,380M,418M,638M,605M,447M
Other Long-Term Investments,380M,418M,638M,605M,447M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,699M,686M,668M,656M,645M
Net Goodwill,633M,633M,631M,631M,631M
Net Other Intangibles,66M,53M,37M,25M,14M
Other Assets,194M,254M,80M,240M,228M
Total Assets,41.29B,42.78B,51.25B,53.81B,53.34B
Total Assets Growth,-,3.61%,19.80%,5.00%,-0.88%
