Item,2018,2019,2020,2021,2022
Cash Only,5.34B,12.12B,10.8B,13.12B,12.07B
Cash Growth,-,126.94%,-10.91%,21.46%,-7.96%
Total Investment Assets,8.14B,9.24B,15.49B,16.65B,18.22B
Investments Growth,-,13.52%,67.71%,7.47%,9.44%
Total Fixed Income Securities Investment,6.63B,7.28B,13.06B,14.37B,16.1B
Bonds,6.63B,7.28B,13.06B,14.37B,16.1B
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,-,-,318M,326M,5M
Common Stocks,-,-,318M,326M,5M
Non-Redeemable Preferred Stock,-,-,-,-,-
Real Estate Assets,-,-,-,-,-
"Mortgage, Policy & Other Loans",-,-,-,-,-
Other Investments,1.51B,1.96B,2.12B,1.95B,2.12B
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,5.15B,6.25B,9.7B,12.24B,13.27B
Premium Balance Growth,-,21.30%,55.21%,26.22%,8.45%
"Net Property, Plant & Equipment",1.71B,2.78B,4.09B,6.96B,4.99B
Investment in Unconsolidated Subs.,-,-,-,-,-
Other Assets (Including Intangibles),10.57B,10.6B,28.65B,29.41B,28.32B
Separate & Variable Account Assets,-,-,-,-,-
Deferred Charges,-,-,-,-,-
Tangible Other Assets,1.31B,1.68B,1.61B,1.82B,2.59B
Intangible Assets,9.25B,8.93B,27.04B,27.6B,25.72B
Total Assets,30.9B,40.99B,69.84B,79.76B,78.54B
Assets - Total - 1 Year Growth,-,32.66%,70.37%,14.20%,-1.53%
Return On Average Assets,-,-,-,-,1.52%
