Item,2022,2021,2020,2019,2018
Cash & Short Term Investments,2.07B,1.34B,1.96B,2.82B,191M
Cash & Short Term Investments Growth,-,-35.04%,46.05%,43.93%,-93.23%
Cash Only,2.07B,1.34B,1.96B,2.82B,191M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.84%,3.20%,4.80%,6.67%,0.39%
Total Accounts Receivable,5.54B,5.62B,5.55B,5.78B,5.63B
Total Accounts Receivable Growth,-,1.44%,-1.19%,4.04%,-2.55%
"Accounts Receivables, Net",-,-,-,-,5.62B
"Accounts Receivables, Gross",-,-,-,-,5.79B
Bad Debt/Doubtful Accounts,-,-,-,-,(169M)
Other Receivable,10M,5M,257M,5M,6M
Accounts Receivable Turnover,4.57,4.21,4.02,4.15,4.16
Inventories,2.51B,2.06B,1.77B,1.81B,1.82B
Finished Goods,-,-,-,-,1.06B
Work in Progress,-,-,-,-,155M
Raw Materials,-,-,-,-,606M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.43B,832M,650M,1.87B,4.19B
Miscellaneous Current Assets,-,-,-,-,4.19B
Total Current Assets,11.55B,9.85B,9.93B,12.28B,11.82B
"Net Property, Plant & Equipment",4.31B,4.6B,4.25B,3.35B,3.3B
"Property, Plant & Equipment - Gross",-,-,-,-,5.46B
Buildings,-,-,-,-,1.21B
Land & Improvements,-,-,-,-,258M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,573M
Accumulated Depreciation,-,-,-,-,2.16B
Total Investments and Advances,963M,1.4B,1.24B,853M,857M
Other Long-Term Investments,-,-,-,-,9M
Long-Term Note Receivables,89M,114M,120M,108M,105M
Intangible Assets,21.97B,23.88B,23.29B,23.81B,24.57B
Net Goodwill,-,-,-,-,18.38B
Net Other Intangibles,4.64B,5.55B,5.36B,5.63B,6.19B
Other Assets,2.33B,1.28B,1.12B,1.33B,6.88B
Total Assets,42.66B,41.89B,40.82B,42.29B,48.8B
Total Assets Growth,-,-1.80%,-2.57%,3.61%,15.39%
