Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,479.6M,452.9M,1.87B,1.88B,1.64B
Cash & Short Term Investments Growth,-,-5.57%,312.70%,0.52%,-12.56%
Cash Only,479.6M,452.9M,1.87B,1.88B,1.64B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,3.72%,2.94%,10.91%,9.72%,8.09%
Total Accounts Receivable,106.84M,88.7M,96.4M,195M,246.4M
Total Accounts Receivable Growth,-,-16.98%,8.68%,102.28%,26.36%
"Accounts Receivables, Net",106.84M,88.7M,96.4M,195M,246.4M
"Accounts Receivables, Gross",110M,96.4M,105.2M,195M,246.4M
Bad Debt/Doubtful Accounts,(3.16M),(7.7M),(8.8M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,33.58,59.77,37.12,30.28,25.98
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,91.22M,101.2M,119.5M,149.7M,124M
Miscellaneous Current Assets,28.25M,24.5M,16M,17.4M,17.9M
Total Current Assets,677.66M,642.8M,2.09B,2.22B,2.01B
"Net Property, Plant & Equipment",6.87B,9.96B,9.35B,9.44B,10.62B
"Property, Plant & Equipment - Gross",9.25B,12.64B,12.22B,12.57B,14B
Buildings,4.19B,4.09B,3.85B,3.97B,3.96B
Land & Improvements,3.31B,1.88B,1.63B,1.67B,1.66B
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",1.72B,1.78B,1.84B,2.01B,2.11B
Accumulated Depreciation,2.38B,2.69B,2.87B,3.13B,3.38B
Total Investments and Advances,128.49M,128.3M,268.1M,256.3M,249.8M
Other Long-Term Investments,-,-,1.3M,1.2M,1.2M
Long-Term Note Receivables,-,15.1M,15.1M,15.1M,7.9M
Intangible Assets,3.09B,3.3B,2.67B,4.7B,4.43B
Net Goodwill,1.23B,1.27B,1.16B,2.82B,2.69B
Net Other Intangibles,1.86B,2.03B,1.51B,1.87B,1.74B
Other Assets,120.2M,153.6M,281.5M,246.8M,183.8M
Total Assets,12.9B,15.38B,17.13B,19.32B,20.32B
Total Assets Growth,-,19.28%,11.34%,12.81%,5.17%
