Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,81.97M,168.82M,185.9M,230.93M,432.26M
Cash & Short Term Investments Growth,-,105.95%,10.11%,24.23%,87.18%
Cash Only,81.97M,168.82M,185.9M,230.93M,432.26M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.16%,2.03%,2.21%,1.80%,3.21%
Total Accounts Receivable,2.93B,3.35B,3.17B,4.2B,4.76B
Total Accounts Receivable Growth,-,14.24%,-5.35%,32.61%,13.10%
"Accounts Receivables, Net",2.93B,3.35B,3.17B,4.2B,4.75B
"Accounts Receivables, Gross",2.94B,3.36B,3.19B,4.25B,4.77B
Bad Debt/Doubtful Accounts,(5.84M),(9.4M),(16.55M),(49.75M),(15.64M)
Other Receivable,300K,300K,400K,400K,300K
Accounts Receivable Turnover,3.81,3.62,3.53,3.09,3.59
Inventories,107.73M,55.72M,50.47M,84.66M,103.27M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,204.47M,256.96M,181.71M,212.81M,245.51M
Miscellaneous Current Assets,204.47M,256.96M,181.71M,212.81M,245.51M
Total Current Assets,3.33B,3.83B,3.59B,4.73B,5.54B
"Net Property, Plant & Equipment",1.28B,1.67B,1.82B,2.16B,2.26B
"Property, Plant & Equipment - Gross",2.37B,2.92B,3.19B,3.66B,3.91B
Buildings,208.97M,231.92M,249.11M,318.5M,396M
Land & Improvements,61.31M,67.56M,69.39M,86.01M,90.72M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",2.08B,2.3B,2.54B,2.86B,3.01B
Accumulated Depreciation,1.09B,1.25B,1.37B,1.5B,1.65B
Total Investments and Advances,1.28M,921K,141.14M,255.65M,239.67M
Other Long-Term Investments,1.28M,921K,56.77M,154.45M,82.58M
Long-Term Note Receivables,155.8M,89M,256.41M,209.1M,261.7M
Intangible Assets,2.18B,2.44B,2.56B,5.33B,5.05B
Net Goodwill,1.9B,2.02B,2.12B,3.53B,3.59B
Net Other Intangibles,280.18M,413.73M,435.66M,1.8B,1.46B
Other Assets,136.51M,303.34M,20.48M,167.49M,121.37M
Total Assets,7.08B,8.33B,8.4B,12.86B,13.46B
Total Assets Growth,-,17.75%,0.80%,53.07%,4.74%
