Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,317.94M,348.31M,1.03B,697.82M,1.02B
Cash & Short Term Investments Growth,-,9.55%,196.73%,-32.48%,46.78%
Cash Only,193.26M,251.46M,829.76M,530.09M,783.11M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,32.97%,23.30%,42.41%,24.05%,24.01%
Total Accounts Receivable,207.61M,398.73M,325.36M,590.82M,1.11B
Total Accounts Receivable Growth,-,92.06%,-18.40%,81.59%,87.61%
"Accounts Receivables, Net",173.58M,298.38M,218.71M,456.34M,905.15M
"Accounts Receivables, Gross",174.01M,300.86M,221.59M,458.97M,908.35M
Bad Debt/Doubtful Accounts,(427K),(2.47M),(2.89M),(2.63M),(3.2M)
Other Receivable,34.04M,100.35M,106.66M,134.48M,203.27M
Accounts Receivable Turnover,4.51,3.58,4.49,3.32,2.81
Inventories,141.52M,170.8M,331.7M,380.14M,729.2M
Finished Goods,84.02M,85.33M,177.87M,118.89M,202.54M
Work in Progress,18.12M,20.75M,25.46M,13.86M,23.41M
Raw Materials,39.38M,64.71M,128.36M,247.39M,503.26M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,11.04M,14.92M,28.74M,42.51M,37.82M
Miscellaneous Current Assets,11.04M,14.92M,28.74M,42.51M,37.82M
Total Current Assets,678.11M,932.76M,1.72B,1.71B,2.9B
"Net Property, Plant & Equipment",119.33M,212.82M,345.01M,457.52M,606.72M
"Property, Plant & Equipment - Gross",191.14M,304.52M,465.58M,608.02M,791.25M
Buildings,18.2M,23.67M,49.86M,62.52M,152.22M
Land & Improvements,6.59M,6.94M,17.94M,13.83M,13.07M
Computer Software and Equipment,13.9M,24.95M,37.35M,44.96M,46.38M
"Other Property, Plant & Equipment",20.75M,30.2M,57.25M,84.76M,96.06M
Accumulated Depreciation,71.81M,91.7M,120.57M,150.5M,184.53M
Total Investments and Advances,74.26M,119.18M,147.43M,482.23M,645.49M
Other Long-Term Investments,74.26M,119.18M,147.43M,482.23M,645.49M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,73.38M,203.66M,208.3M,188.49M,51.12M
Net Goodwill,34.87M,129.65M,140.48M,129.63M,31.19M
Net Other Intangibles,38.5M,74.01M,67.82M,58.86M,19.93M
Other Assets,4.7M,9.9M,5.35M,33.86M,18.81M
Total Assets,964.47M,1.49B,2.44B,2.9B,4.27B
Total Assets Growth,-,54.97%,63.06%,19.03%,47.05%
