Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,495.7M,370.9M,1.02B,477M,303M
Cash & Short Term Investments Growth,-,-25.18%,175.28%,-53.28%,-36.48%
Cash Only,495.7M,370.9M,1.02B,477M,303M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.80%,2.37%,6.95%,3.34%,2.28%
Total Accounts Receivable,2.16B,1.84B,1.68B,1.5B,1.25B
Total Accounts Receivable Growth,-,-14.88%,-8.88%,-10.61%,-16.67%
"Accounts Receivables, Net",2.16B,1.84B,1.68B,1.5B,1.25B
"Accounts Receivables, Gross",2.19B,1.87B,1.71B,1.5B,1.25B
Bad Debt/Doubtful Accounts,(26.5M),(28.7M),(36M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,4.69,5.28,5.59,7.06,7.57
Inventories,1.76B,1.61B,1.64B,2.09B,2.2B
Finished Goods,1.35B,1.24B,1.23B,1.61B,1.7B
Work in Progress,151.2M,135.3M,157M,167M,218M
Raw Materials,262.5M,231M,252M,310M,285M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.54B,290.8M,291M,288M,296M
Miscellaneous Current Assets,1.54B,290.8M,291M,288M,296M
Total Current Assets,5.96B,4.11B,4.63B,4.35B,4.05B
"Net Property, Plant & Equipment",1.23B,1.77B,1.71B,1.76B,1.76B
"Property, Plant & Equipment - Gross",3.01B,3.49B,3.59B,3.71B,3.65B
Buildings,652.8M,640.6M,664M,678M,648M
Land & Improvements,88.2M,86M,86M,82M,76M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.79B,1.72B,1.89B,1.94B,1.89B
Total Investments and Advances,-,-,7M,3M,45M
Other Long-Term Investments,-,-,7M,3M,45M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,10.02B,8.63B,7.12B,6.87B,5.95B
Net Goodwill,3.87B,3.71B,3.55B,3.5B,3.3B
Net Other Intangibles,6.15B,4.92B,3.56B,3.37B,2.65B
Other Assets,330M,361.3M,404M,464M,646M
Total Assets,17.72B,15.64B,14.7B,14.27B,13.26B
Total Assets Growth,-,-11.74%,-6.02%,-2.93%,-7.06%
