Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.51B,1.51B,3.04B,3.24B,2.57B
Cash & Short Term Investments Growth,-,0.53%,100.80%,6.48%,-20.52%
Cash Only,1.51B,1.51B,3.04B,3.24B,2.57B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,10.60%,9.62%,15.93%,13.36%,8.39%
Total Accounts Receivable,136.3M,218M,271.4M,321.7M,423.1M
Total Accounts Receivable Growth,-,59.94%,24.50%,18.53%,31.52%
"Accounts Receivables, Net",-,39.3M,47.1M,58.6M,74.3M
"Accounts Receivables, Gross",-,39.3M,47.1M,58.6M,74.3M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,178.7M,224.3M,263.1M,348.8M
Accounts Receivable Turnover,117.89,80.70,74.84,86.34,79.13
Inventories,10.4B,11.28B,12.24B,16.48B,21.66B
Finished Goods,10.26B,11.18B,12.16B,16.34B,21.52B
Work in Progress,96.1M,77.8M,53.2M,110.9M,110.8M
Raw Materials,-,-,-,-,-
Progress Payments & Other,40.2M,19.8M,28.3M,25.4M,29.4M
Other Current Assets,36.9M,49.6M,46M,51.6M,77.4M
Miscellaneous Current Assets,-,-,-,-,-
Total Current Assets,12.07B,13.06B,15.59B,20.09B,24.73B
"Net Property, Plant & Equipment",401.1M,462.2M,476.5M,428.5M,518.2M
"Property, Plant & Equipment - Gross",645.8M,723.1M,760.9M,733.5M,848.1M
Buildings,292.3M,329.4M,267.4M,299.5M,349.6M
Land & Improvements,63.8M,71.6M,129.4M,48.7M,51.6M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",235.6M,256.9M,329.4M,349.7M,400.3M
Accumulated Depreciation,244.7M,260.9M,284.4M,305M,329.9M
Total Investments and Advances,860.6M,1.14B,1.8B,2.05B,2.76B
Other Long-Term Investments,849.6M,1.13B,1.8B,2.05B,2.76B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,109.2M,163.5M,163.5M,163.5M,163.5M
Net Goodwill,109.2M,163.5M,163.5M,163.5M,163.5M
Net Other Intangibles,-,-,-,-,-
Other Assets,475.5M,617.1M,730.3M,1.13B,2.04B
Total Assets,14.2B,15.73B,19.08B,24.23B,30.66B
Total Assets Growth,-,10.79%,21.25%,26.99%,26.55%
