Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,923.74M,1.23B,1.53B,1.73B,2.03B
Cash & Short Term Investments Growth,-,33.21%,24.16%,13.15%,17.67%
Cash Only,923.74M,1.23B,1.53B,1.73B,2.03B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,27.61%,32.57%,31.01%,22.72%,35.71%
Total Accounts Receivable,1.58B,1.32B,2B,3.81B,2.11B
Total Accounts Receivable Growth,-,-16.85%,51.93%,90.70%,-44.69%
"Accounts Receivables, Net",1.58B,1.32B,2B,3.81B,2.11B
"Accounts Receivables, Gross",1.6B,1.33B,2B,3.82B,2.12B
Bad Debt/Doubtful Accounts,(15.35M),(11.14M),(5.58M),(6.69M),(9.47M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,5.15,6.22,4.80,4.34,8.10
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,70.04M,92.56M,110.25M,108.8M,118.7M
Miscellaneous Current Assets,70.04M,92.56M,110.25M,108.8M,118.7M
Total Current Assets,2.58B,2.64B,3.64B,5.65B,4.26B
"Net Property, Plant & Equipment",504.11M,889.38M,939.15M,947.03M,1.01B
"Property, Plant & Equipment - Gross",951.08M,1.37B,1.46B,1.49B,1.58B
Buildings,473.66M,478.36M,492.75M,494.8M,505.53M
Land & Improvements,144.52M,145.17M,150.03M,147.31M,139.64M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",330.32M,353.92M,379.34M,382.68M,420.49M
Accumulated Depreciation,446.98M,478.91M,516.99M,541.68M,567.76M
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,7.93M,7.93M,7.93M,7.93M,7.93M
Net Goodwill,7.93M,7.93M,7.93M,7.93M,7.93M
Net Other Intangibles,-,-,-,-,-
Other Assets,186.76M,148.4M,344.33M,1.01B,275.17M
Total Assets,3.35B,3.78B,4.93B,7.61B,5.7B
Total Assets Growth,-,12.91%,30.44%,54.44%,-25.16%
