Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,4.29B,5.06B,7.62B,12.16B,12.42B
Cash & Short Term Investments Growth,-,17.78%,50.70%,59.66%,2.08%
Cash Only,4.29B,5.06B,7.62B,12.16B,12.42B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,8.56%,7.49%,10.03%,16.10%,16.95%
Total Accounts Receivable,3.39B,3.26B,2.3B,2.07B,2.96B
Total Accounts Receivable Growth,-,-3.86%,-29.52%,-9.84%,42.83%
"Accounts Receivables, Net",3.33B,3.26B,2.3B,2.07B,2.96B
"Accounts Receivables, Gross",3.33B,3.26B,2.47B,2.2B,2.96B
Bad Debt/Doubtful Accounts,-,-,(174M),(129M),-
Other Receivable,65M,-,-,-,-
Accounts Receivable Turnover,6.15,6.93,10.40,13.25,11.22
Inventories,1.12B,874M,1B,1.3B,1.93B
Finished Goods,483M,339M,323M,423M,780M
Work in Progress,505M,414M,558M,680M,966M
Raw Materials,136M,121M,122M,194M,179M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,301M,729M,977M,1.06B,1.21B
Miscellaneous Current Assets,58M,427M,590M,516M,341M
Total Current Assets,9.11B,9.92B,11.9B,16.59B,18.5B
"Net Property, Plant & Equipment",2.64B,2.57B,3.1B,2.94B,2.74B
"Property, Plant & Equipment - Gross",4.53B,4.9B,5.92B,6.13B,6.34B
Buildings,1.02B,1.08B,1.13B,1.15B,1.16B
Land & Improvements,189M,189M,194M,195M,195M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.89B,2.33B,2.82B,3.2B,3.6B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,37.68B,54.27B,60.23B,54.82B,50.73B
Net Goodwill,26.91B,36.71B,43.45B,43.45B,43.61B
Net Other Intangibles,10.76B,17.55B,16.78B,11.37B,7.11B
Other Assets,423M,743M,471M,1.22B,1.28B
Total Assets,50.12B,67.49B,75.93B,75.57B,73.25B
Total Assets Growth,-,34.65%,12.51%,-0.48%,-3.07%
