Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,33.95B,34.65B,49.96B,49.59B,44.07B
Cash & Short Term Investments Growth,-,2.06%,44.18%,-0.74%,-11.14%
Cash Only,16.72B,17.5B,25.24B,20.54B,25.13B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.23%,13.40%,18.69%,19.29%,17.22%
Total Accounts Receivable,65.81B,63.14B,52.58B,44.04B,54.57B
Total Accounts Receivable Growth,-,-4.06%,-16.73%,-16.24%,23.92%
"Accounts Receivables, Net",65.55B,62.89B,52.39B,43.91B,54.45B
"Accounts Receivables, Gross",66.23B,63.58B,52.85B,44.28B,54.5B
Bad Debt/Doubtful Accounts,(683M),(691M),(457M),(366M),(48M)
Other Receivable,264M,251M,181M,125M,125M
Accounts Receivable Turnover,2.44,2.47,2.42,3.10,2.90
Inventories,11.22B,10.79B,10.81B,12.07B,14.08B
Finished Goods,6.68B,6.38B,6.13B,6.28B,8.08B
Work in Progress,-,-,-,-,-
Raw Materials,4.54B,4.4B,4.68B,5.79B,6B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,3.67B,5.47B,3.4B,3.3B,3.75B
Miscellaneous Current Assets,3.67B,5.47B,3.4B,3.3B,3.75B
Total Current Assets,114.65B,114.05B,116.74B,109B,116.48B
"Net Property, Plant & Equipment",65.3B,67.11B,66.32B,64.84B,61.48B
"Property, Plant & Equipment - Gross",101.68B,103.9B,105.01B,101.99B,89.03B
Buildings,11.48B,11.9B,12.56B,12.44B,11.95B
Land & Improvements,445M,421M,451M,450M,371M
Computer Software and Equipment,3.35B,3.69B,3.9B,4.6B,5.04B
"Other Property, Plant & Equipment",12.07B,12.44B,12.15B,11.4B,10.47B
Accumulated Depreciation,36.39B,36.79B,38.69B,37.16B,27.55B
Total Investments and Advances,3.15B,3.89B,7.29B,5.64B,3.4B
Other Long-Term Investments,189M,175M,692M,197M,206M
Long-Term Note Receivables,55.54B,53.7B,55.28B,51.26B,49.9B
Intangible Assets,442M,278M,258M,619M,-
Net Goodwill,264M,278M,258M,619M,-
Net Other Intangibles,178M,-,-,-,-
Other Assets,7.05B,7.64B,8.95B,11.89B,9.07B
Total Assets,256.54B,258.54B,267.26B,257.04B,255.88B
Total Assets Growth,-,0.78%,3.37%,-3.83%,-0.45%
