Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,3.58B,2.01B,1.79B,1.26B,1.11B
Cash & Short Term Investments Growth,-,-43.66%,-10.99%,-30.00%,-11.92%
Cash Only,2.51B,1.28B,1.38B,939.7M,895.3M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,38.19%,22.79%,19.12%,14.12%,11.85%
Total Accounts Receivable,754.6M,879.7M,964.1M,994.4M,1.23B
Total Accounts Receivable Growth,-,16.58%,9.59%,3.14%,23.42%
"Accounts Receivables, Net",754.6M,879.7M,964.1M,994.4M,1.23B
"Accounts Receivables, Gross",759.5M,885.2M,974M,1B,1.24B
Bad Debt/Doubtful Accounts,(4.9M),(5.5M),(9.9M),(6.7M),(11.1M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,6.16,5.05,4.61,4.76,4.32
Inventories,82M,94.2M,221.9M,272.6M,619.4M
Finished Goods,21.4M,25.2M,63.8M,-,163.3M
Work in Progress,-,-,-,-,-
Raw Materials,60.6M,69M,158.1M,272.6M,456.1M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,169.3M,221.4M,292M,434.4M,664.8M
Miscellaneous Current Assets,169.3M,221.4M,292M,434.4M,560.5M
Total Current Assets,4.58B,3.21B,3.27B,2.96B,3.62B
"Net Property, Plant & Equipment",951.7M,1B,946.9M,864.3M,808.4M
"Property, Plant & Equipment - Gross",2.12B,2.22B,2.26B,2.18B,2.06B
Buildings,254.3M,255M,256M,269.3M,271.9M
Land & Improvements,243.2M,243.5M,243.5M,243.5M,243.6M
Computer Software and Equipment,1.32B,1.27B,1.29B,1.25B,1.16B
"Other Property, Plant & Equipment",283.8M,265.2M,273.4M,244.4M,234.6M
Accumulated Depreciation,1.17B,1.22B,1.32B,1.32B,1.26B
Total Investments and Advances,289.4M,776.9M,901.9M,684.9M,467.3M
Other Long-Term Investments,289.4M,776.9M,901.9M,684.9M,467.3M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.23B,3.52B,3.94B,4.05B,3.89B
Net Goodwill,3.11B,3.34B,3.67B,3.76B,3.73B
Net Other Intangibles,118.5M,185.8M,266.7M,284.3M,160.5M
Other Assets,313.1M,327.5M,322M,334.8M,539M
Total Assets,9.36B,8.84B,9.38B,8.89B,9.33B
Total Assets Growth,-,-5.61%,6.12%,-5.24%,4.95%
