Item,2018,2019,2020,2021,2022
Cash Only,75M,227.4M,76.5M,202.1M,220.9M
Cash Growth,-,203.20%,-66.36%,164.18%,9.30%
Total Investment Assets,33.57B,39.25B,47.53B,51.51B,53.55B
Investments Growth,-,16.94%,21.08%,8.38%,3.95%
Total Fixed Income Securities Investment,29.91B,34.91B,42.03B,44.82B,49.51B
Bonds,29.67B,34.71B,41.83B,44.63B,49.33B
Redeemable Preferred Stock,238.3M,195M,194.7M,181.7M,184.3M
Total Equity Securities Investment,3.66B,4.35B,5.5B,6.7B,4.03B
Common Stocks,2.63B,1.04B,4.05B,5.06B,2.82B
Non-Redeemable Preferred Stock,1.03B,3.31B,1.45B,1.64B,1.21B
Real Estate Assets,-,-,-,-,-
"Mortgage, Policy & Other Loans",-,-,-,-,-
Other Investments,-,-,-,-,-
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,6.5B,7.51B,8.16B,9.4B,10.42B
Premium Balance Growth,-,15.55%,8.70%,15.19%,10.82%
"Net Property, Plant & Equipment",1.13B,1.4B,1.27B,1.31B,1.16B
Investment in Unconsolidated Subs.,-,-,-,-,-
Other Assets (Including Intangibles),2.25B,2.51B,2.67B,3.27B,2.86B
Separate & Variable Account Assets,-,-,-,-,-
Deferred Charges,1.08B,1.21B,1.4B,1.54B,1.69B
Tangible Other Assets,431.9M,625.5M,643.9M,1.15B,846.3M
Intangible Assets,747.3M,681M,624.1M,570M,314.2M
Total Assets,44.34B,51.83B,60.76B,66.85B,70.23B
Assets - Total - 1 Year Growth,-,16.89%,17.23%,10.03%,5.06%
Return On Average Assets,-,-,-,-,1.05%
