Item,2018,2019,2020,2021,2022
Cash Only,4.34B,4.9B,5.14B,5.05B,3.94B
Cash Growth,-,12.89%,5.00%,-1.75%,-21.94%
Total Investment Assets,121.91B,133.2B,144.61B,137.93B,113.45B
Investments Growth,-,9.26%,8.57%,-4.62%,-17.74%
Total Fixed Income Securities Investment,113.21B,121.35B,130.35B,120.7B,94.8B
Bonds,113.21B,121.35B,130.35B,120.7B,94.8B
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,987M,802M,1.28B,1.6B,1.09B
Common Stocks,987M,802M,1.28B,1.6B,1.09B
Non-Redeemable Preferred Stock,-,-,-,-,-
Real Estate Assets,-,-,-,-,-
"Mortgage, Policy & Other Loans",7.15B,9.82B,10.81B,12.02B,13.71B
Other Investments,403M,599M,1.03B,1.88B,2.32B
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,851M,828M,796M,693M,647M
Premium Balance Growth,-,-2.70%,-3.86%,-12.94%,-6.64%
"Net Property, Plant & Equipment",443M,581M,601M,538M,530M
Investment in Unconsolidated Subs.,-,-,-,-,-
Other Assets (Including Intangibles),11.93B,12.3B,12.94B,12.33B,11.6B
Separate & Variable Account Assets,-,-,-,-,-
Deferred Charges,9.88B,10.13B,10.44B,9.53B,8.59B
Tangible Other Assets,2.05B,2.17B,2.5B,2.81B,3B
Intangible Assets,-,-,-,-,-
Total Assets,144.66B,157.96B,172.3B,164.55B,135.38B
Assets - Total - 1 Year Growth,-,9.19%,9.08%,-4.49%,-17.73%
Return On Average Assets,-,-,-,-,2.80%
