Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,904.18M,1.51B,1.3B,1.42B,993.56M
Cash & Short Term Investments Growth,-,66.62%,-13.68%,9.30%,-30.10%
Cash Only,904.18M,1.51B,1.3B,1.42B,993.56M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,26.69%,35.83%,30.97%,25.81%,19.88%
Total Accounts Receivable,473.43M,499.27M,558.57M,664.51M,663.24M
Total Accounts Receivable Growth,-,5.46%,11.88%,18.97%,-0.19%
"Accounts Receivables, Net",473.43M,499.27M,558.57M,664.51M,663.24M
"Accounts Receivables, Gross",474.46M,500.98M,560.15M,666.85M,665.89M
Bad Debt/Doubtful Accounts,(1.03M),(1.72M),(1.58M),(2.34M),(2.65M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,3.03,3.12,3.04,3.08,3.39
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,57.08M,75.94M,66.51M,57.45M,91.17M
Miscellaneous Current Assets,37.81M,44.35M,46.41M,51.5M,54.52M
Total Current Assets,1.43B,2.08B,1.93B,2.14B,1.75B
"Net Property, Plant & Equipment",90.88M,257.11M,233.78M,211.3M,180.44M
"Property, Plant & Equipment - Gross",276.38M,425.68M,414.93M,397.34M,378.79M
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,200.41M,185.79M,186.79M,179.56M,181.71M
"Other Property, Plant & Equipment",65.46M,64.82M,71.81M,70.5M,68.12M
Accumulated Depreciation,185.51M,168.57M,181.15M,186.04M,198.35M
Total Investments and Advances,-,-,190.9M,218.76M,214.39M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.83B,1.82B,1.8B,2.83B,2.79B
Net Goodwill,1.55B,1.56B,1.57B,2.24B,2.23B
Net Other Intangibles,280.8M,261.49M,234.75M,593.34M,558.52M
Other Assets,20.92M,20.28M,23.98M,63.39M,37.34M
Total Assets,3.39B,4.2B,4.2B,5.51B,5B
Total Assets Growth,-,24.10%,-0.14%,31.15%,-9.25%
