Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,424.2M,763.2M,982.2M,1.08B,1.27B
Cash & Short Term Investments Growth,-,79.92%,28.69%,10.28%,17.63%
Cash Only,358.2M,724.2M,955M,1.05B,420.3M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.32%,8.72%,11.34%,11.58%,13.01%
Total Accounts Receivable,524.6M,854.2M,790.3M,1.05B,1.32B
Total Accounts Receivable Growth,-,62.83%,-7.48%,33.32%,25.11%
"Accounts Receivables, Net",492.4M,826.8M,764.1M,1.03B,1.3B
"Accounts Receivables, Gross",499.4M,834.3M,776.6M,1.05B,1.31B
Bad Debt/Doubtful Accounts,(7M),(7.5M),(12.5M),(16M),(18.2M)
Other Receivable,32.2M,27.4M,26.2M,24.4M,22.3M
Accounts Receivable Turnover,6.44,4.42,5.11,3.85,3.50
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,4.94B,4.06B,3.69B,4.03B,3.99B
Miscellaneous Current Assets,4.93B,4.04B,3.68B,4B,3.96B
Total Current Assets,5.89B,5.68B,5.46B,6.17B,6.58B
"Net Property, Plant & Equipment",393.5M,408.7M,522.2M,498.8M,480M
"Property, Plant & Equipment - Gross",1.18B,1.27B,1.48B,1.46B,1.54B
Buildings,126.4M,162.9M,166.5M,158.3M,157.1M
Land & Improvements,10.6M,10.8M,10.8M,10.3M,10.3M
Computer Software and Equipment,545.5M,626.6M,690.9M,748.3M,832.1M
"Other Property, Plant & Equipment",225.9M,222.6M,226.9M,183.3M,189.4M
Accumulated Depreciation,789.2M,866.1M,957.2M,966.1M,1.06B
Total Investments and Advances,295.5M,16.7M,31.5M,44.1M,30.5M
Other Long-Term Investments,295.5M,16.7M,31.5M,44.1M,30.5M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,955.4M,2.18B,2.12B,2.1B,2.06B
Net Goodwill,814M,1.78B,1.79B,1.82B,1.83B
Net Other Intangibles,141.4M,399.1M,330.6M,275.8M,224.6M
Other Assets,377.4M,391.2M,410.7M,418.3M,487M
Total Assets,7.97B,8.76B,8.66B,9.35B,9.8B
Total Assets Growth,-,9.82%,-1.05%,7.96%,4.72%
