Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,2.59B,2.9B,3.68B,2.97B,2.67B
Cash & Short Term Investments Growth,-,11.80%,26.91%,-19.33%,-9.97%
Cash Only,2.59B,2.9B,3.68B,2.97B,2.67B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.64%,9.80%,14.15%,13.47%,13.27%
Total Accounts Receivable,5.48B,5.18B,4.39B,4.16B,3.85B
Total Accounts Receivable Growth,-,-5.47%,-15.23%,-5.37%,-7.27%
"Accounts Receivables, Net",4.38B,3.62B,3.51B,3.22B,3.07B
"Accounts Receivables, Gross",4.42B,3.68B,3.59B,3.31B,3.12B
Bad Debt/Doubtful Accounts,(40M),(60M),(74M),(91M),(55M)
Other Receivable,1.1B,1.56B,879M,933M,789M
Accounts Receivable Turnover,3.97,4.01,4.46,4.27,4.22
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.55B,986M,916M,1.08B,920M
Miscellaneous Current Assets,1.05B,359M,270M,517M,303M
Total Current Assets,9.62B,9.07B,8.99B,8.21B,7.45B
"Net Property, Plant & Equipment",3.36B,3.18B,4.98B,4.31B,3.55B
"Property, Plant & Equipment - Gross",7.05B,7.14B,8.79B,8.43B,7.54B
Buildings,2.46B,2.18B,2.23B,2.23B,2.09B
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,4.19B,4.72B,4.88B,4.6B,4.12B
"Other Property, Plant & Equipment",323M,224M,226M,227M,203M
Accumulated Depreciation,3.69B,3.96B,3.82B,4.12B,4B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,14B,13.55B,8.62B,5.57B,4.81B
Net Goodwill,7.62B,7.61B,2.02B,641M,617M
Net Other Intangibles,6.38B,5.94B,6.61B,4.93B,4.2B
Other Assets,6.57B,3.43B,3.16B,3.66B,4.11B
Total Assets,33.92B,29.57B,26.01B,22.04B,20.14B
Total Assets Growth,-,-12.82%,-12.06%,-15.26%,-8.62%
