Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,8.56B,10.03B,25.59B,16.24B,17.22B
Cash & Short Term Investments Growth,-,17.12%,155.13%,-36.52%,6.01%
Cash Only,7.64B,9.49B,7.75B,8.05B,14.61B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.30%,7.51%,16.82%,11.72%,12.56%
Total Accounts Receivable,14.36B,12.47B,10.05B,11.38B,11.31B
Total Accounts Receivable Growth,-,-13.18%,-19.41%,13.20%,-0.64%
"Accounts Receivables, Net",14.36B,12.47B,10.05B,11.38B,11.31B
"Accounts Receivables, Gross",14.42B,12.54B,10.5B,11.77B,11.42B
Bad Debt/Doubtful Accounts,(57M),(73M),(444M),(390M),(116M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,7.04,6.14,5.79,5.47,5.89
Inventories,62.57B,76.62B,81.72B,78.82B,78.15B
Finished Goods,-,-,-,-,-
Work in Progress,54.88B,67.2B,70.98B,68.98B,68.28B
Raw Materials,7.69B,9.42B,10.74B,9.85B,9.87B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,2.34B,3.11B,4.29B,2.22B,2.85B
Miscellaneous Current Assets,2.34B,3.11B,4.29B,2.22B,2.85B
Total Current Assets,87.83B,102.23B,121.64B,108.67B,109.52B
"Net Property, Plant & Equipment",12.65B,13.68B,13.07B,12.36B,12B
"Property, Plant & Equipment - Gross",31.21B,33.03B,33.58B,32.89B,33.44B
Buildings,14.11B,14.29B,14.42B,14.15B,14.4B
Land & Improvements,546M,527M,512M,377M,376M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,18.57B,19.34B,20.51B,20.54B,21.44B
Total Investments and Advances,1.09B,1.09B,1.09B,1.07B,1.1B
Other Long-Term Investments,39M,61M,156M,143M,147M
Long-Term Note Receivables,2.66B,2.38B,1.94B,1.7B,1.45B
Intangible Assets,11.27B,11.4B,10.92B,10.63B,10.37B
Net Goodwill,7.84B,8.06B,8.08B,8.07B,8.06B
Net Other Intangibles,3.43B,3.34B,2.84B,2.56B,2.31B
Other Assets,1.58B,2.16B,3.38B,4.06B,2.6B
Total Assets,117.36B,133.63B,152.14B,138.55B,137.1B
Total Assets Growth,-,13.86%,13.85%,-8.93%,-1.05%
