Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.85B,1.77B,1.72B,1.48B,2.64B
Cash & Short Term Investments Growth,-,-4.54%,-2.49%,-14.06%,78.50%
Cash Only,1.54B,1.37B,1.39B,1.25B,1.91B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.69%,5.25%,4.97%,4.49%,6.88%
Total Accounts Receivable,1.76B,1.61B,1.44B,1.57B,2.17B
Total Accounts Receivable Growth,-,-8.42%,-10.68%,8.90%,38.76%
"Accounts Receivables, Net",1.6B,1.48B,1.3B,1.42B,1.8B
"Accounts Receivables, Gross",1.62B,1.5B,1.31B,1.42B,1.8B
Bad Debt/Doubtful Accounts,(23M),(20M),(13M),(5M),(5M)
Other Receivable,163M,131M,138M,148M,374M
Accounts Receivable Turnover,6.11,6.33,6.72,7.11,5.81
Inventories,577M,487M,461M,604M,1.06B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,577M,487M,461M,604M,1.06B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,831M,1.37B,1.79B,1.71B,1.78B
Miscellaneous Current Assets,701M,1.29B,1.69B,1.57B,1.68B
Total Current Assets,5.02B,5.23B,5.41B,5.36B,7.64B
"Net Property, Plant & Equipment",21.4B,22.82B,23.1B,20.18B,23.4B
"Property, Plant & Equipment - Gross",29.62B,31.33B,31.57B,28.67B,32.05B
Buildings,1.65B,1.61B,1.51B,1.55B,1.2B
Land & Improvements,449M,447M,417M,426M,470M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",716M,902M,961M,1.09B,1.27B
Accumulated Depreciation,8.23B,8.51B,8.47B,8.49B,8.65B
Total Investments and Advances,1.11B,966M,973M,1.23B,1.33B
Other Long-Term Investments,-,-,138M,148M,374M
Long-Term Note Receivables,1.53B,1.45B,97M,55M,301M
Intangible Assets,1.5B,1.53B,1.89B,2.63B,2.2B
Net Goodwill,1.06B,1.06B,1.06B,1.18B,362M
Net Other Intangibles,436M,469M,827M,1.45B,1.84B
Other Assets,1.87B,1.5B,2.84B,3.1B,3.18B
Total Assets,32.52B,33.65B,34.6B,32.96B,38.36B
Total Assets Growth,-,3.47%,2.84%,-4.74%,16.38%
