Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,2.22B,2.35B,3.48B,2.53B,3.66B
Cash & Short Term Investments Growth,-,6.18%,48.05%,-27.42%,44.62%
Cash Only,2.22B,2.35B,3.48B,2.53B,3.66B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,16.65%,16.89%,25.11%,20.17%,27.25%
Total Accounts Receivable,276.64M,346.43M,200.16M,199.46M,216.03M
Total Accounts Receivable Growth,-,25.23%,-42.22%,-0.35%,8.31%
"Accounts Receivables, Net",276.64M,346.43M,200.16M,199.46M,216.03M
"Accounts Receivables, Gross",309.34M,385.75M,300.49M,310.78M,294.88M
Bad Debt/Doubtful Accounts,(32.69M),(39.32M),(100.33M),(111.32M),(78.84M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,24.28,19.08,10.47,18.87,17.39
Inventories,66.63M,88.52M,66.29M,69.97M,70.09M
Finished Goods,66.63M,88.52M,66.29M,69.97M,70.09M
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,83.1M,69.49M,64.67M,79.06M,88.2M
Miscellaneous Current Assets,83.1M,69.49M,64.67M,79.06M,88.2M
Total Current Assets,2.64B,2.86B,3.81B,2.88B,4.03B
"Net Property, Plant & Equipment",9.39B,10.08B,9.6B,9.14B,8.75B
"Property, Plant & Equipment - Gross",13.47B,14.59B,14.76B,14.86B,14.8B
Buildings,7.71B,9.37B,9.76B,9.79B,8.36B
Land & Improvements,1.14B,1.25B,1.27B,1.28B,1.2B
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",2.6B,2.93B,3.09B,3.07B,3.17B
Accumulated Depreciation,4.09B,4.51B,5.17B,5.73B,6.05B
Total Investments and Advances,4.32M,6.39M,4.35M,3.64M,127.73M
Other Long-Term Investments,4.32M,6.39M,4.35M,3.64M,127.73M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,222.51M,146.41M,278.2M,307.58M,245.25M
Net Goodwill,-,-,144.1M,129.74M,90.52M
Net Other Intangibles,222.51M,146.41M,134.1M,177.84M,154.73M
Other Assets,225.69M,223.13M,178.62M,207.02M,263.31M
Total Assets,13.3B,13.92B,13.87B,12.53B,13.42B
Total Assets Growth,-,4.66%,-0.37%,-9.65%,7.06%
