Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,3.72B,3.25B,4.13B,4.89B,3.24B
Cash & Short Term Investments Growth,-,-12.73%,27.18%,18.44%,-33.88%
Cash Only,3.72B,3.25B,4.13B,3.85B,2.49B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.10%,6.09%,10.87%,13.86%,9.47%
Total Accounts Receivable,5.97B,6.42B,5.62B,5.65B,5.96B
Total Accounts Receivable Growth,-,7.49%,-12.38%,0.52%,5.43%
"Accounts Receivables, Net",5.3B,5.62B,4.73B,4.81B,4.74B
"Accounts Receivables, Gross",5.63B,5.94B,5.11B,5.21B,5.08B
Bad Debt/Doubtful Accounts,(327M),(323M),(373M),(400M),(341M)
Other Receivable,669M,796M,890M,846M,1.22B
Accounts Receivable Turnover,3.83,3.72,3.68,3.63,3.55
Inventories,4.62B,4.61B,4.42B,3.98B,4.59B
Finished Goods,2.58B,2.55B,2.34B,2.23B,2.42B
Work in Progress,-,-,-,-,-
Raw Materials,2.05B,2.06B,2.08B,1.75B,2.17B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,659M,949M,2.28B,541M,811M
Miscellaneous Current Assets,659M,949M,2.28B,541M,811M
Total Current Assets,14.97B,15.22B,16.46B,15.07B,14.59B
"Net Property, Plant & Equipment",6.23B,7.07B,6.16B,5.7B,5.3B
"Property, Plant & Equipment - Gross",9.85B,11.45B,11.28B,10.7B,10.42B
Buildings,2.85B,2.87B,2.62B,2.27B,2.12B
Land & Improvements,432M,430M,404M,350M,347M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,3.63B,4.38B,5.12B,5B,5.12B
Total Investments and Advances,-,-,-,75M,1M
Other Long-Term Investments,-,-,-,75M,1M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,26.44B,26.07B,10.37B,10.09B,10.11B
Net Goodwill,20.72B,20.69B,5.98B,5.96B,5.93B
Net Other Intangibles,5.72B,5.38B,4.4B,4.13B,4.18B
Other Assets,3.73B,4.05B,4.07B,3.64B,3.53B
Total Assets,52.44B,53.37B,38.01B,35.31B,34.18B
Total Assets Growth,-,1.77%,-28.78%,-7.10%,-3.19%
