Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.53B,1.47B,3.86B,3.19B,2.57B
Cash & Short Term Investments Growth,-,-3.61%,162.72%,-17.48%,-19.27%
Cash Only,1.3B,1.13B,3.4B,2.59B,2.1B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,8.00%,7.45%,17.07%,13.44%,8.49%
Total Accounts Receivable,3.98B,3.86B,3.96B,4.17B,5.47B
Total Accounts Receivable Growth,-,-3.06%,2.56%,5.40%,30.95%
"Accounts Receivables, Net",3.87B,3.67B,3.82B,3.99B,5.2B
"Accounts Receivables, Gross",3.88B,3.69B,3.86B,4.02B,5.28B
Bad Debt/Doubtful Accounts,(15M),(19M),(39M),(33M),(78M)
Other Receivable,117M,191M,140M,184M,264M
Accounts Receivable Turnover,5.97,6.10,5.00,5.75,5.14
Inventories,3.76B,3.49B,3.43B,4.36B,5.6B
Finished Goods,2.41B,2.21B,2.22B,2.54B,2.92B
Work in Progress,-,-,-,-,-
Raw Materials,1.49B,1.4B,1.35B,2.01B,2.93B
Progress Payments & Other,(133M),(123M),(137M),(192M),(240M)
Other Current Assets,551M,570M,650M,593M,809M
Miscellaneous Current Assets,551M,570M,650M,593M,809M
Total Current Assets,9.82B,9.39B,11.9B,12.31B,14.45B
"Net Property, Plant & Equipment",4.1B,4.74B,4.69B,4.87B,6.01B
"Property, Plant & Equipment - Gross",8.32B,9.2B,9.45B,9.8B,11B
Buildings,2.4B,2.49B,2.61B,2.63B,2.91B
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,4.22B,4.45B,4.76B,4.94B,4.99B
Total Investments and Advances,1.22B,1.24B,1.44B,1.54B,1.76B
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,6M,23M,23M,-,14M
Intangible Assets,2.04B,2.29B,2.26B,2.19B,5.03B
Net Goodwill,1.13B,1.29B,1.29B,1.29B,2.34B
Net Other Intangibles,909M,1B,963M,900M,2.69B
Other Assets,1.48B,2.06B,2.31B,2.38B,2.41B
Total Assets,19.06B,19.74B,22.62B,23.71B,30.3B
Total Assets Growth,-,3.54%,14.63%,4.80%,27.79%
