Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,309.6M,404.9M,438M,339M,365M
Cash & Short Term Investments Growth,-,30.78%,8.17%,-22.60%,7.67%
Cash Only,309.6M,404.9M,438M,339M,365M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,3.56%,4.71%,4.69%,3.67%,4.78%
Total Accounts Receivable,701.9M,782M,709M,803M,685M
Total Accounts Receivable Growth,-,11.41%,-9.34%,13.26%,-14.69%
"Accounts Receivables, Net",701.9M,782M,673M,750M,632M
"Accounts Receivables, Gross",726.4M,811.4M,691M,763M,646M
Bad Debt/Doubtful Accounts,(24.5M),(29.4M),(18M),(13M),(14M)
Other Receivable,-,-,36M,53M,53M
Accounts Receivable Turnover,5.68,5.15,4.71,5.27,5.73
Inventories,598.9M,561.7M,466M,515M,627M
Finished Goods,380M,356.4M,264M,304M,381M
Work in Progress,89.2M,82.5M,68M,72M,77M
Raw Materials,129.7M,122.8M,134M,139M,169M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,277.6M,251.3M,178M,195M,216M
Miscellaneous Current Assets,172.8M,170M,99M,106M,112M
Total Current Assets,1.89B,2B,1.79B,1.85B,1.89B
"Net Property, Plant & Equipment",870.6M,961.7M,967M,971M,961M
"Property, Plant & Equipment - Gross",2.08B,2.19B,2.36B,2.28B,2.27B
Buildings,560.3M,553.6M,595M,561M,546M
Land & Improvements,55M,51.9M,54M,51M,48M
Computer Software and Equipment,-,-,-,353M,400M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.21B,1.23B,1.39B,1.31B,1.31B
Total Investments and Advances,-,-,-,11M,25M
Other Long-Term Investments,-,-,-,11M,25M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.85B,5.57B,6.49B,6.3B,4.59B
Net Goodwill,3.43B,3.4B,3.99B,3.98B,2.69B
Net Other Intangibles,2.42B,2.18B,2.5B,2.32B,1.9B
Other Assets,58.2M,56.3M,86M,96M,72M
Total Assets,8.69B,8.6B,9.34B,9.24B,7.64B
Total Assets Growth,-,-0.97%,8.59%,-1.10%,-17.27%
