Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,158.66M,280.84M,712.58M,760.6M,698M
Cash & Short Term Investments Growth,-,77.00%,153.74%,6.74%,-8.23%
Cash Only,158.66M,280.84M,712.58M,760.6M,698M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.56%,3.93%,9.74%,10.26%,9.56%
Total Accounts Receivable,1.26B,1.35B,1.26B,1.39B,1.58B
Total Accounts Receivable Growth,-,7.35%,-6.78%,10.29%,13.91%
"Accounts Receivables, Net",1.26B,1.35B,1.26B,1.39B,1.58B
"Accounts Receivables, Gross",1.26B,1.36B,1.27B,1.39B,1.59B
Bad Debt/Doubtful Accounts,(7.7M),(8M),(10M),(6.5M),(9M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,3.17,3.15,3.26,3.42,3.47
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,162.94M,124.68M,94.77M,93.68M,147.06M
Miscellaneous Current Assets,162.94M,124.68M,94.77M,93.68M,147.06M
Total Current Assets,1.58B,1.75B,2.06B,2.24B,2.42B
"Net Property, Plant & Equipment",267.67M,1.05B,984.05M,821.82M,701.17M
"Property, Plant & Equipment - Gross",514.36M,1.34B,1.32B,1.2B,1.01B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,210.96M,256.45M,277.97M,304.39M,258.84M
"Other Property, Plant & Equipment",303.41M,379.48M,398.4M,350.5M,310.07M
Accumulated Depreciation,246.7M,291.36M,339.6M,381.33M,304.33M
Total Investments and Advances,-,-,-,-,3.95M
Other Long-Term Investments,-,-,-,-,3.95M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.96B,3.86B,3.75B,3.67B,3.51B
Net Goodwill,2.92B,2.94B,2.95B,2.95B,2.93B
Net Other Intangibles,1.04B,922.17M,806.63M,714.42M,584.71M
Other Assets,363.02M,411.41M,412.88M,549.25M,518.34M
Total Assets,6.2B,7.15B,7.32B,7.42B,7.3B
Total Assets Growth,-,15.32%,2.30%,1.37%,-1.57%
