Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,538M,360M,585M,241M,325M
Cash & Short Term Investments Growth,-,-33.09%,62.50%,-58.80%,34.85%
Cash Only,538M,360M,585M,241M,325M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,9.16%,6.00%,9.29%,3.66%,4.28%
Total Accounts Receivable,1.39B,1.43B,1.47B,1.75B,2.13B
Total Accounts Receivable Growth,-,2.89%,3.44%,19.00%,21.61%
"Accounts Receivables, Net",1.39B,1.43B,1.47B,1.75B,2.13B
"Accounts Receivables, Gross",1.41B,1.45B,1.5B,1.78B,2.17B
Bad Debt/Doubtful Accounts,(25M),(21M),(27M),(30M),(36M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,8.10,8.06,8.00,7.42,7.14
Inventories,1.54B,1.66B,1.73B,1.87B,2.25B
Finished Goods,1.54B,1.66B,1.73B,1.87B,2.25B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,93M,115M,127M,146M,266M
Miscellaneous Current Assets,83M,104M,120M,146M,266M
Total Current Assets,3.56B,3.56B,3.92B,4.01B,4.98B
"Net Property, Plant & Equipment",1.35B,1.62B,1.61B,1.82B,1.83B
"Property, Plant & Equipment - Gross",3.44B,3.72B,3.75B,3.72B,3.81B
Buildings,1.34B,1.33B,1.88B,1.57B,1.46B
Land & Improvements,318M,332M,329M,329M,318M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",1.79B,1.83B,1.33B,1.43B,1.66B
Accumulated Depreciation,2.09B,2.09B,2.14B,1.9B,1.98B
Total Investments and Advances,-,-,21M,1M,-
Other Long-Term Investments,-,-,21M,1M,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,884M,733M,619M,622M,603M
Net Goodwill,424M,429M,391M,384M,371M
Net Other Intangibles,460M,304M,228M,238M,232M
Other Assets,68M,83M,117M,141M,180M
Total Assets,5.87B,6.01B,6.3B,6.59B,7.59B
Total Assets Growth,-,2.25%,4.83%,4.72%,15.11%
