Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,87M,37.5M,24.8M,35.9M,54.5M
Cash & Short Term Investments Growth,-,-56.90%,-33.87%,44.76%,51.81%
Cash Only,87M,37.5M,24.8M,35.9M,54.5M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.25%,0.10%,0.07%,0.09%,0.13%
Total Accounts Receivable,1.28B,1.18B,1.2B,1.51B,1.82B
Total Accounts Receivable Growth,-,-8.15%,2.24%,25.18%,20.77%
"Accounts Receivables, Net",1.28B,1.18B,1.2B,1.51B,1.82B
"Accounts Receivables, Gross",1.43B,1.32B,1.42B,1.7B,2.02B
Bad Debt/Doubtful Accounts,(149.2M),(140M),(220.1M),(198.3M),(199.3M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,6.00,6.39,6.02,5.52,5.28
Inventories,548.2M,549.8M,528.6M,635.8M,807.1M
Finished Goods,232.9M,227.7M,224.9M,326M,446.3M
Work in Progress,-,-,-,-,-
Raw Materials,315.3M,322.1M,303.7M,309.8M,360.8M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,331.5M,329.8M,326.8M,479.3M,507.7M
Miscellaneous Current Assets,74.7M,68M,63.4M,233.8M,236.1M
Total Current Assets,2.25B,2.09B,2.08B,2.66B,3.19B
"Net Property, Plant & Equipment",22.02B,23.68B,25.74B,27.08B,29.13B
"Property, Plant & Equipment - Gross",30.66B,32.68B,35.23B,37.11B,39.51B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,38.12B
Accumulated Depreciation,8.64B,9.01B,9.5B,10.03B,10.38B
Total Investments and Advances,1.73B,1.77B,1.81B,1.85B,2.05B
Other Long-Term Investments,59.7M,45M,48.7M,64.6M,143.3M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.05B,3.05B,3.05B,3.05B,3.05B
Net Goodwill,3.05B,3.05B,3.05B,3.05B,3.05B
Net Other Intangibles,-,-,-,-,-
Other Assets,4.43B,4.36B,4.34B,4.35B,4.45B
Total Assets,34.44B,35.84B,37.93B,39.87B,42.79B
Total Assets Growth,-,4.06%,5.83%,5.11%,7.35%
