Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,178.11M,207.79M,94.25M,98.56M,95.97M
Cash & Short Term Investments Growth,-,16.66%,-54.64%,4.57%,-2.64%
Cash Only,178.11M,207.79M,94.25M,98.56M,95.97M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,6.80%,7.45%,3.35%,2.96%,2.75%
Total Accounts Receivable,535.53M,566.26M,593.81M,647.34M,709.32M
Total Accounts Receivable Growth,-,5.74%,4.87%,9.01%,9.58%
"Accounts Receivables, Net",535.53M,566.26M,593.81M,647.34M,709.32M
"Accounts Receivables, Gross",551M,583.27M,612.43M,669.51M,726.33M
Bad Debt/Doubtful Accounts,(15.47M),(17.01M),(18.63M),(22.18M),(17.01M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,5.48,5.31,5.20,5.74,5.53
Inventories,268.82M,274.29M,297.61M,414.54M,441.69M
Finished Goods,98.78M,101.79M,109.88M,153.9M,141.68M
Work in Progress,47.1M,43.2M,55.69M,76.02M,77.85M
Raw Materials,122.95M,129.29M,132.04M,184.62M,222.17M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,63.4M,61.32M,71.23M,108.92M,128.11M
Miscellaneous Current Assets,63.4M,61.32M,71.23M,108.92M,128.11M
Total Current Assets,1.05B,1.11B,1.06B,1.27B,1.38B
"Net Property, Plant & Equipment",717.53M,835.97M,897.49M,917.86M,892.92M
"Property, Plant & Equipment - Gross",1.23B,1.4B,1.52B,1.52B,1.55B
Buildings,317.64M,326.74M,356.7M,367.85M,372.4M
Land & Improvements,58.07M,58.05M,61.84M,61.88M,61.07M
Computer Software and Equipment,470.98M,514.4M,544.49M,502.2M,512.49M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,515.66M,563.94M,622.33M,606.48M,656.28M
Total Investments and Advances,-,-,-,2.12M,6.89M
Other Long-Term Investments,-,-,-,2.12M,6.89M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,752.09M,742.22M,747.06M,956.07M,966.22M
Net Goodwill,534.78M,535.98M,550.27M,648.62M,660.17M
Net Other Intangibles,217.31M,206.24M,196.79M,307.45M,306.05M
Other Assets,68.31M,64.5M,71.26M,141.89M,224.19M
Total Assets,2.62B,2.79B,2.81B,3.33B,3.49B
Total Assets Growth,-,6.51%,0.90%,18.20%,4.98%
