Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.01B,1.22B,1.44B,1.15B,1.28B
Cash & Short Term Investments Growth,-,20.97%,18.00%,-20.19%,11.87%
Cash Only,1.01B,1.22B,1.44B,1.15B,1.28B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.87%,2.10%,2.28%,1.82%,1.86%
Total Accounts Receivable,2.12B,2.12B,2.74B,3.11B,3.23B
Total Accounts Receivable Growth,-,0.00%,29.60%,13.32%,4.06%
"Accounts Receivables, Net",1.78B,1.91B,2.44B,2.8B,3.06B
"Accounts Receivables, Gross",1.85B,1.99B,2.59B,3.13B,3.39B
Bad Debt/Doubtful Accounts,(67M),(74M),(155M),(339M),(332M)
Other Receivable,334M,204M,304M,311M,174M
Accounts Receivable Turnover,5.83,5.93,4.47,4.40,4.85
Inventories,358M,352M,356M,437M,492M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,358M,352M,356M,437M,492M
Other Current Assets,385M,588M,768M,862M,7.97B
Miscellaneous Current Assets,198M,328M,497M,567M,7.7B
Total Current Assets,3.86B,4.27B,5.3B,5.55B,12.97B
"Net Property, Plant & Equipment",41.75B,44.75B,47.39B,49.41B,47.33B
"Property, Plant & Equipment - Gross",51.79B,55.46B,59.1B,62.21B,60.43B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,10.04B,10.71B,11.71B,12.8B,13.09B
Total Investments and Advances,1.77B,2.07B,1.82B,853M,926M
Other Long-Term Investments,-,-,-,-,85M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.09B,2B,1.91B,1.73B,408M
Net Goodwill,440M,446M,446M,439M,408M
Net Other Intangibles,1.65B,1.56B,1.46B,1.29B,-
Other Assets,4.45B,4.99B,6.48B,5.58B,7.43B
Total Assets,53.92B,58.08B,62.9B,63.12B,69.07B
Total Assets Growth,-,7.71%,8.29%,0.35%,9.43%
