Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,155.51M,161.8M,226.6M,165.7M,198.8M
Cash & Short Term Investments Growth,-,4.05%,40.05%,-26.88%,19.98%
Cash Only,155.51M,161.8M,226.6M,165.7M,198.8M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.81%,0.79%,1.11%,0.80%,0.88%
Total Accounts Receivable,2.02B,2.14B,2.13B,2.41B,2.61B
Total Accounts Receivable Growth,-,5.98%,-0.43%,13.30%,8.04%
"Accounts Receivables, Net",2.02B,2.14B,2.13B,2.41B,2.61B
"Accounts Receivables, Gross",2.02B,2.14B,2.18B,2.41B,2.61B
Bad Debt/Doubtful Accounts,-,-,(45.9M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,8.69,8.37,8.62,8.26,8.49
Inventories,1.82B,1.89B,1.8B,1.93B,2.63B
Finished Goods,1.43B,1.51B,1.43B,1.38B,1.96B
Work in Progress,-,-,-,-,-
Raw Materials,388.91M,380M,376.5M,548.4M,668.8M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,354.94M,440.9M,430.6M,547.5M,475M
Miscellaneous Current Assets,354.94M,440.9M,430.6M,547.5M,475M
Total Current Assets,4.34B,4.63B,4.59B,5.05B,5.91B
"Net Property, Plant & Equipment",1.78B,3.52B,3.6B,3.69B,4.07B
"Property, Plant & Equipment - Gross",4.04B,6.07B,6.31B,6.49B,7.06B
Buildings,979.14M,1.04B,1.1B,1.16B,1.2B
Land & Improvements,244.61M,242.1M,283.5M,257.7M,263M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.26B,2.55B,2.71B,2.8B,2.98B
Total Investments and Advances,181.17M,176.2M,198.2M,355.8M,596.1M
Other Long-Term Investments,181.17M,176.2M,198.2M,355.8M,596.1M
Long-Term Note Receivables,-,178.2M,170.7M,131.2M,117.7M
Intangible Assets,12.16B,11.74B,11.52B,11.14B,11.59B
Net Goodwill,6.96B,7B,7.05B,7.13B,7.58B
Net Other Intangibles,5.2B,4.73B,4.47B,4B,4B
Other Assets,673.5M,250M,325.4M,302M,313.5M
Total Assets,19.13B,20.5B,20.4B,20.67B,22.59B
Total Assets Growth,-,7.12%,-0.46%,1.30%,9.33%
