Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,3.54B,4.48B,2.61B,3.8B,4.89B
Cash & Short Term Investments Growth,-,26.51%,-41.69%,45.68%,28.67%
Cash Only,1.22B,2.91B,1.33B,2.26B,3.42B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.99%,16.43%,10.60%,15.93%,19.93%
Total Accounts Receivable,2.49B,2.47B,2.33B,1.96B,2.14B
Total Accounts Receivable Growth,-,-0.59%,-5.80%,-15.71%,8.91%
"Accounts Receivables, Net",2.49B,2.47B,2.33B,1.96B,2.14B
"Accounts Receivables, Gross",2.49B,2.47B,2.33B,1.96B,2.14B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,4.85,5.15,5.31,5.30,4.42
Inventories,929.9M,804.2M,1.07B,1.35B,1.34B
Finished Goods,-,174.5M,209.2M,187.9M,-
Work in Progress,-,460M,544.5M,814M,-
Raw Materials,-,169.7M,314.9M,349.6M,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,687.6M,631M,881.1M,740.8M,1.42B
Miscellaneous Current Assets,416.4M,631M,881.1M,740.8M,1.42B
Total Current Assets,7.64B,8.38B,6.89B,7.86B,9.79B
"Net Property, Plant & Equipment",3.6B,3.67B,3.84B,3.79B,3.7B
"Property, Plant & Equipment - Gross",5.4B,5.27B,5.63B,5.8B,5.87B
Buildings,1.28B,835M,1.03B,1.7B,1.59B
Land & Improvements,144.5M,118.1M,119.8M,207.5M,202.4M
Computer Software and Equipment,798.7M,798.4M,903M,971.6M,999.9M
"Other Property, Plant & Equipment",156M,157.8M,167.1M,188.4M,168.8M
Accumulated Depreciation,1.8B,1.59B,1.78B,2.01B,2.17B
Total Investments and Advances,2.73B,2.38B,3.42B,2.6B,1.96B
Other Long-Term Investments,2.05B,1.8B,2.8B,2B,1.55B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,8.83B,9.29B,8.85B,7.98B,7.6B
Net Goodwill,5.71B,5.76B,5.76B,5.76B,5.75B
Net Other Intangibles,3.12B,3.53B,3.08B,2.22B,1.85B
Other Assets,333.7M,278.7M,254.2M,229.3M,277.8M
Total Assets,25.29B,27.23B,24.62B,23.88B,24.55B
Total Assets Growth,-,7.69%,-9.60%,-3.01%,2.83%
