Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,55.6M,12.2M,1.36B,783.5M,525M
Cash & Short Term Investments Growth,-,-78.06%,"11,080.33%",-42.56%,-32.99%
Cash Only,55.6M,12.2M,1.36B,783.5M,525M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.02%,0.40%,29.26%,18.61%,12.68%
Total Accounts Receivable,225.9M,340.1M,342.1M,366.9M,447.3M
Total Accounts Receivable Growth,-,50.55%,0.59%,7.25%,21.91%
"Accounts Receivables, Net",225.9M,340.1M,342.1M,366.9M,447.3M
"Accounts Receivables, Gross",226.5M,341.4M,343.4M,367.8M,448.4M
Bad Debt/Doubtful Accounts,(600K),(1.3M),(1.3M),(900K),(1.1M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,15.16,11.05,11.09,10.01,9.16
Inventories,549.7M,498.3M,486.7M,513.5M,602.5M
Finished Goods,430.5M,371.4M,339.2M,377.8M,426.5M
Work in Progress,-,-,-,-,-
Raw Materials,119.2M,126.9M,147.5M,135.7M,147.9M
Progress Payments & Other,-,-,-,-,28.1M
Other Current Assets,99.2M,110.9M,109.8M,117.8M,84.8M
Miscellaneous Current Assets,99.2M,110.9M,109.8M,117.8M,84.8M
Total Current Assets,930.4M,961.5M,2.3B,1.78B,1.66B
"Net Property, Plant & Equipment",1.42B,1.6B,1.7B,1.67B,1.7B
"Property, Plant & Equipment - Gross",2.58B,2.87B,3.11B,3.23B,3.4B
Buildings,-,-,-,-,-
Land & Improvements,139.8M,142.2M,107.2M,108.2M,114.1M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",2.31B,2.65B,2.78B,2.86B,3.01B
Accumulated Depreciation,1.16B,1.28B,1.41B,1.57B,1.7B
Total Investments and Advances,219.8M,224.6M,250.2M,310.2M,257.4M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,20.5M
Intangible Assets,170.5M,243.5M,342.1M,371.4M,351.7M
Net Goodwill,135.1M,205.9M,303.8M,334.5M,318M
Net Other Intangibles,35.4M,37.6M,38.3M,36.9M,33.7M
Other Assets,10.7M,18.9M,63.1M,78.2M,149.7M
Total Assets,2.75B,3.05B,4.66B,4.21B,4.14B
Total Assets Growth,-,10.74%,52.96%,-9.71%,-1.65%
