Item,2019,2020,2021,2022,2023
Cash & Short Term Investments,7.42B,10.9B,11.56B,21.21B,13.3B
Cash & Short Term Investments Growth,-,46.82%,6.09%,83.44%,-37.31%
Cash Only,782M,10.9B,847M,1.99B,3.39B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,55.84%,62.93%,40.15%,48.00%,32.29%
Total Accounts Receivable,1.42B,1.66B,2.43B,4.65B,3.83B
Total Accounts Receivable Growth,-,16.36%,46.59%,91.44%,-17.70%
"Accounts Receivables, Net",1.42B,1.66B,2.43B,4.65B,3.83B
"Accounts Receivables, Gross",1.43B,1.66B,2.43B,4.65B,3.83B
Bad Debt/Doubtful Accounts,(2M),(2M),(4M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,8.23,6.59,6.86,5.79,7.05
Inventories,1.58B,979M,1.83B,2.61B,5.16B
Finished Goods,724M,465M,737M,1.12B,2.26B
Work in Progress,238M,265M,457M,692M,466M
Raw Materials,613M,249M,632M,791M,2.43B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,136M,157M,239M,366M,791M
Miscellaneous Current Assets,136M,157M,239M,366M,791M
Total Current Assets,10.56B,13.69B,16.06B,28.83B,23.07B
"Net Property, Plant & Equipment",1.4B,2.29B,2.86B,3.61B,4.85B
"Property, Plant & Equipment - Gross",2.17B,3.3B,4.26B,5.51B,7.54B
Buildings,339M,340M,341M,-,-
Land & Improvements,218M,218M,218M,218M,218M
Computer Software and Equipment,631M,908M,1.19B,2.85B,4.3B
"Other Property, Plant & Equipment",332M,367M,471M,874M,1.6B
Accumulated Depreciation,767M,1.01B,1.41B,1.9B,2.69B
Total Investments and Advances,-,-,-,266M,299M
Other Long-Term Investments,-,-,-,266M,299M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,663M,667M,6.93B,6.69B,6.05B
Net Goodwill,618M,618M,4.19B,4.35B,4.37B
Net Other Intangibles,45M,49M,2.74B,2.34B,1.68B
Other Assets,668M,118M,2.14B,3.58B,3.52B
Total Assets,13.29B,17.32B,28.79B,44.19B,41.18B
Total Assets Growth,-,30.27%,66.28%,53.48%,-6.80%
