Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,16.12B,11.18B,10.91B,12.63B,11.63B
Cash & Short Term Investments Growth,-,-30.65%,-2.34%,15.68%,-7.87%
Cash Only,9.08B,6.48B,6.8B,9.68B,9.52B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,19.37%,12.94%,12.50%,13.38%,12.54%
Total Accounts Receivable,3.69B,3.97B,3.14B,3.51B,3.49B
Total Accounts Receivable Growth,-,7.76%,-20.83%,11.70%,-0.71%
"Accounts Receivables, Net",3.69B,3.97B,3.14B,3.51B,3.49B
"Accounts Receivables, Gross",4.19B,4.5B,3.67B,4.03B,4B
Bad Debt/Doubtful Accounts,(501M),(524M),(526M),(516M),(516M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,9.26,9.39,10.51,11.03,12.29
Inventories,3.07B,3.38B,3.27B,3.41B,4.23B
Finished Goods,773M,851M,791M,982M,1.25B
Work in Progress,-,-,-,-,-
Raw Materials,2.03B,2.18B,2.11B,2.13B,2.63B
Progress Payments & Other,273M,348M,369M,299M,359M
Other Current Assets,2.06B,1.89B,1.92B,2.99B,3.24B
Miscellaneous Current Assets,2.06B,1.89B,1.92B,2.99B,3.24B
Total Current Assets,24.93B,20.41B,19.24B,22.55B,22.59B
"Net Property, Plant & Equipment",9.6B,12.21B,12.33B,11.34B,11.25B
"Property, Plant & Equipment - Gross",17.61B,20.29B,21.25B,20.28B,20.48B
Buildings,4.32B,4.58B,4.78B,4.35B,4.43B
Land & Improvements,485M,659M,676M,652M,611M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,8.01B,8.08B,8.92B,-,9.23B
Total Investments and Advances,22.08B,22.23B,22.54B,22.03B,21.79B
Other Long-Term Investments,2.67B,3.2B,3.27B,4.44B,3.52B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,21.59B,26.77B,28.55B,34.61B,33.63B
Net Goodwill,14.11B,16.76B,17.51B,19.36B,18.78B
Net Other Intangibles,7.48B,10B,11.04B,15.25B,14.85B
Other Assets,2.35B,2.35B,2.18B,1.7B,1.76B
Total Assets,83.22B,86.38B,87.3B,94.35B,92.76B
Total Assets Growth,-,3.80%,1.06%,8.09%,-1.69%
