Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.36B,1.68B,1.48B,2.25B,2.29B
Cash & Short Term Investments Growth,-,22.74%,-11.86%,52.42%,1.71%
Cash Only,1.36B,1.68B,1.48B,2.25B,2.29B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,12.18%,13.68%,13.19%,16.79%,16.25%
Total Accounts Receivable,2.32B,2.55B,2.08B,2.93B,3.37B
Total Accounts Receivable Growth,-,9.90%,-18.51%,40.61%,15.08%
"Accounts Receivables, Net",2.31B,2.55B,2.08B,2.93B,3.37B
"Accounts Receivables, Gross",2.37B,2.63B,2.17B,3.03B,3.52B
Bad Debt/Doubtful Accounts,(59.96M),(70.89M),(86.89M),(98.72M),(149.85M)
Other Receivable,12.7M,-,-,-,-
Accounts Receivable Turnover,1.05,1.04,1.15,0.97,1.02
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,176.18M,381.2M,391.42M,304.18M,440.33M
Miscellaneous Current Assets,176.18M,381.2M,391.42M,304.18M,440.33M
Total Current Assets,3.87B,4.61B,3.95B,5.48B,6.1B
"Net Property, Plant & Equipment",186.2M,284.13M,279.31M,321.07M,389.3M
"Property, Plant & Equipment - Gross",351.68M,498.11M,545.49M,649.92M,670.04M
Buildings,21.85M,29.13M,30.47M,33.52M,36.11M
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,291.4M,341.28M,393.22M,472.15M,470.19M
"Other Property, Plant & Equipment",18.31M,19.32M,19.58M,22.65M,19.48M
Accumulated Depreciation,165.48M,213.98M,266.18M,328.85M,280.74M
Total Investments and Advances,42.67M,30.44M,24.08M,78.92M,136.28M
Other Long-Term Investments,-,-,16.6M,26.9M,62M
Long-Term Note Receivables,34.5M,39.7M,37.2M,38.9M,42.9M
Intangible Assets,6.95B,7.17B,6.84B,7.41B,7.33B
Net Goodwill,4.54B,4.83B,4.72B,5.08B,5.2B
Net Other Intangibles,2.41B,2.34B,2.12B,2.34B,2.13B
Other Assets,123.53M,108.18M,69.01M,69.16M,90.02M
Total Assets,11.2B,12.25B,11.19B,13.4B,14.09B
Total Assets Growth,-,9.34%,-8.60%,19.74%,5.11%
