Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,2.34B,604.2M,598.7M,473M,541M
Cash & Short Term Investments Growth,-,-74.21%,-0.91%,-21.00%,14.38%
Cash Only,2.34B,604.2M,598.7M,473M,541M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,27.08%,3.19%,3.24%,2.56%,2.92%
Total Accounts Receivable,1.15B,1.66B,1.41B,1.48B,1.52B
Total Accounts Receivable Growth,-,45.09%,-15.11%,4.57%,2.84%
"Accounts Receivables, Net",1.15B,1.66B,1.41B,1.48B,1.52B
"Accounts Receivables, Gross",1.16B,1.68B,1.45B,1.51B,1.55B
Bad Debt/Doubtful Accounts,(16.9M),(19.9M),(36.5M),(32M),(28M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,3.81,4.93,5.35,5.30,5.50
Inventories,844.89M,1.77B,1.64B,1.69B,2.03B
Finished Goods,224.53M,612.7M,633.3M,616M,641M
Work in Progress,154.49M,374M,339.4M,316M,515M
Raw Materials,465.87M,786.4M,669.4M,757M,878M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,115.65M,150.9M,226.5M,193M,233M
Miscellaneous Current Assets,115.65M,150.9M,226.5M,193M,233M
Total Current Assets,4.45B,4.19B,3.88B,3.83B,4.33B
"Net Property, Plant & Equipment",563.74M,1.66B,1.6B,1.5B,1.43B
"Property, Plant & Equipment - Gross",1.04B,2.22B,2.37B,2.4B,2.48B
Buildings,248.11M,774.2M,801.1M,785M,783M
Land & Improvements,38.66M,78M,97.6M,96M,100M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,472.81M,560.2M,771.7M,906M,1.05B
Total Investments and Advances,-,-,200M,96M,105M
Other Long-Term Investments,-,-,100M,-,-
Long-Term Note Receivables,-,109.4M,101M,153M,162M
Intangible Assets,3.53B,12.46B,12.35B,12.29B,11.91B
Net Goodwill,2.4B,8.36B,8.49B,8.59B,8.51B
Net Other Intangibles,1.13B,4.1B,3.87B,3.71B,3.4B
Other Assets,109.41M,522.3M,417.7M,584M,583M
Total Assets,8.65B,18.94B,18.45B,18.45B,18.52B
Total Assets Growth,-,119.03%,-2.58%,0.00%,0.34%
