Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,3.88B,6.51B,19.62B,18.05B,22.48B
Cash & Short Term Investments Growth,-,67.97%,201.23%,-8.00%,24.52%
Cash Only,3.88B,6.51B,19.62B,17.92B,16.55B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.04%,18.99%,37.63%,29.05%,27.30%
Total Accounts Receivable,949.02M,1.32B,1.89B,1.91B,2.95B
Total Accounts Receivable Growth,-,39.51%,42.45%,1.43%,54.31%
"Accounts Receivables, Net",949.02M,1.32B,1.89B,1.91B,2.95B
"Accounts Receivables, Gross",949.02M,1.32B,1.89B,1.91B,2.95B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,22.61,18.56,16.72,28.14,27.60
Inventories,3.11B,3.55B,4.1B,5.76B,12.84B
Finished Goods,1.58B,1.36B,1.67B,1.28B,3.48B
Work in Progress,296.99M,362M,493M,1.09B,2.39B
Raw Materials,1.23B,1.83B,1.94B,3.39B,6.98B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,365.67M,713M,1.11B,1.38B,2.65B
Miscellaneous Current Assets,365.67M,713M,1.11B,1.38B,2.65B
Total Current Assets,8.31B,12.1B,26.72B,27.1B,40.92B
"Net Property, Plant & Equipment",19.69B,20.2B,23.38B,31.18B,36.64B
"Property, Plant & Equipment - Gross",22.89B,25.06B,29.89B,39.87B,48.13B
Buildings,4.05B,3.02B,3.66B,4.68B,7.75B
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,487.42M,595M,856M,1.41B,2.07B
"Other Property, Plant & Equipment",14.06B,15.12B,16.85B,18.73B,22.83B
Accumulated Depreciation,3.19B,4.86B,6.52B,8.69B,11.5B
Total Investments and Advances,398.22M,270M,279M,223M,377M
Other Long-Term Investments,398.22M,270M,279M,223M,377M
Long-Term Note Receivables,421.55M,402M,334M,299M,280M
Intangible Assets,350.65M,537M,520M,1.72B,593M
Net Goodwill,68.16M,198M,207M,200M,194M
Net Other Intangibles,282.49M,339M,313M,1.52B,399M
Other Assets,571.66M,798M,923M,1.62B,3.54B
Total Assets,29.74B,34.31B,52.15B,62.13B,82.34B
Total Assets Growth,-,15.36%,52.00%,19.14%,32.52%
