Item,2018,2019,2020,2021,2022
Cash Only,121.03M,75.93M,94.85M,92.16M,92.56M
Cash Growth,-,-37.26%,24.91%,-2.83%,0.43%
Total Investment Assets,17.34B,20.05B,22.76B,23.09B,18.21B
Investments Growth,-,15.62%,13.49%,1.44%,-21.13%
Total Fixed Income Securities Investment,16.36B,18.95B,21.32B,21.37B,16.62B
Bonds,16.36B,18.95B,21.32B,21.37B,16.62B
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,-,-,-,-,-
Common Stocks,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Real Estate Assets,-,-,-,-,-
"Mortgage, Policy & Other Loans",646.33M,713.18M,744.98M,731.48M,796.17M
Other Investments,336.99M,394.66M,692.38M,980.08M,794.71M
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,-,-,-,-,-
Premium Balance Growth,-,-,-,-,-
"Net Property, Plant & Equipment",256M,298M,350M,378M,406M
Investment in Unconsolidated Subs.,-,-,-,-,-
Other Assets (Including Intangibles),5.37B,5.55B,5.84B,6.21B,6.83B
Separate & Variable Account Assets,-,-,-,-,-
Deferred Charges,4.14B,4.34B,4.6B,4.91B,5.25B
Tangible Other Assets,794.64M,766.72M,806.2M,815.38M,1.1B
Intangible Assets,441.59M,441.59M,441.59M,481.79M,481.79M
Total Assets,23.1B,25.98B,29.05B,29.77B,25.54B
Assets - Total - 1 Year Growth,-,12.48%,11.82%,2.48%,-14.21%
Return On Average Assets,-,-,-,-,2.67%
