Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,31.32M,40.41M,465.64M,362.11M,108.58M
Cash & Short Term Investments Growth,-,29.03%,"1,052.40%",-22.23%,-70.01%
Cash Only,31.32M,40.41M,465.64M,362.11M,108.58M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.39%,0.36%,3.79%,2.92%,0.81%
Total Accounts Receivable,270.18M,294.41M,330.29M,385.67M,470.17M
Total Accounts Receivable Growth,-,8.97%,12.19%,16.77%,21.91%
"Accounts Receivables, Net",192.03M,214.92M,229.68M,272.56M,343.16M
"Accounts Receivables, Gross",205.26M,229.33M,242.35M,284.43M,357.85M
Bad Debt/Doubtful Accounts,(13.24M),(14.42M),(12.67M),(11.87M),(14.7M)
Other Receivable,78.16M,79.49M,100.62M,113.11M,127.02M
Accounts Receivable Turnover,35.30,34.48,35.13,34.56,30.65
Inventories,3.19B,3.45B,3.65B,3.69B,4.36B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,48.26M,44.76M,50.66M,70.09M,110.38M
Miscellaneous Current Assets,48.26M,44.76M,50.66M,70.09M,110.38M
Total Current Assets,3.54B,3.83B,4.5B,4.5B,5.05B
"Net Property, Plant & Equipment",3.59B,5.88B,6.09B,6.2B,6.54B
"Property, Plant & Equipment - Gross",5.65B,8.12B,8.56B,8.93B,9.55B
Buildings,2.15B,2.38B,2.57B,2.74B,2.9B
Land & Improvements,745.05M,805.56M,860.8M,888.56M,931.99M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",2.04B,2.2B,2.36B,2.56B,2.8B
Accumulated Depreciation,2.06B,2.24B,2.46B,2.73B,3.01B
Total Investments and Advances,25.49M,32.2M,40.41M,52.46M,87.37M
Other Long-Term Investments,25.49M,32.2M,40.41M,52.46M,49.37M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,815.7M,938.6M,937.34M,928.54M,930.66M
Net Goodwill,807.26M,936.81M,881.03M,879.34M,884.45M
Net Other Intangibles,8.44M,1.79M,56.31M,49.2M,46.22M
Other Assets,9.49M,36.12M,29.06M,37.46M,25.38M
Total Assets,8.11B,11.33B,12.27B,12.39B,13.32B
Total Assets Growth,-,39.72%,8.32%,0.98%,7.51%
