Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.21B,1.68B,1.95B,2.12B,2.14B
Cash & Short Term Investments Growth,-,38.60%,15.94%,9.10%,1.03%
Cash Only,1.21B,1.68B,1.95B,2.12B,2.14B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,9.15%,3.77%,4.40%,4.69%,4.79%
Total Accounts Receivable,1.95B,2.25B,2.03B,2.09B,3.52B
Total Accounts Receivable Growth,-,15.42%,-9.96%,3.20%,68.32%
"Accounts Receivables, Net",348.4M,895.23M,794.17M,946.25M,998.33M
"Accounts Receivables, Gross",351.56M,908.42M,814.78M,963.65M,1.02B
Bad Debt/Doubtful Accounts,(3.16M),(13.19M),(20.61M),(17.4M),(21M)
Other Receivable,1.6B,1.35B,1.23B,1.14B,2.52B
Accounts Receivable Turnover,1.73,2.18,3.67,4.08,2.55
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,216.71M,439.17M,621.47M,498.18M,651.71M
Miscellaneous Current Assets,216.71M,439.17M,621.47M,498.18M,651.71M
Total Current Assets,3.38B,4.37B,4.59B,4.71B,6.31B
"Net Property, Plant & Equipment",653.54M,1.82B,2.06B,2.18B,2.2B
"Property, Plant & Equipment - Gross",1.16B,2.43B,2.96B,3.38B,3.57B
Buildings,27.18M,196.43M,208.26M,195.09M,189.59M
Land & Improvements,3.52M,14.04M,13.75M,12.13M,9.83M
Computer Software and Equipment,539.88M,828.25M,1.14B,1.31B,1.52B
"Other Property, Plant & Equipment",118.64M,200.53M,195.33M,210.89M,205.82M
Accumulated Depreciation,503.83M,615.1M,900.44M,1.2B,1.37B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,8.83B,36.91B,35.89B,36.45B,32.98B
Net Goodwill,6.34B,23.76B,23.87B,24.81B,23.32B
Net Other Intangibles,2.49B,13.15B,12.02B,11.63B,9.66B
Other Assets,362.92M,1.37B,1.65B,1.93B,3.28B
Total Assets,13.23B,44.48B,44.2B,45.28B,44.81B
Total Assets Growth,-,236.19%,-0.63%,2.44%,-1.04%
