Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,3.51B,3.41B,3.47B,1.34B,2.04B
Cash & Short Term Investments Growth,-,-2.79%,1.70%,-61.43%,52.13%
Cash Only,1.14B,2.04B,1.81B,1.23B,2.01B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,50.47%,46.66%,45.77%,8.80%,16.63%
Total Accounts Receivable,514M,573M,487M,664M,688M
Total Accounts Receivable Growth,-,11.48%,-15.01%,36.34%,3.61%
"Accounts Receivables, Net",514M,573M,487M,664M,688M
"Accounts Receivables, Gross",516M,575M,491M,667M,692M
Bad Debt/Doubtful Accounts,(2M),(2M),(4M),(3M),(4M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,6.48,6.18,6.65,6.82,6.66
Inventories,386M,359M,372M,431M,568M
Finished Goods,51M,26M,22M,27M,28M
Work in Progress,218M,225M,244M,312M,386M
Raw Materials,117M,108M,106M,92M,247M
Progress Payments & Other,-,-,-,-,(93M)
Other Current Assets,78M,105M,152M,279M,268M
Miscellaneous Current Assets,78M,105M,152M,279M,268M
Total Current Assets,4.49B,4.45B,4.48B,2.71B,3.56B
"Net Property, Plant & Equipment",1.08B,1.44B,1.45B,1.7B,1.74B
"Property, Plant & Equipment - Gross",1.6B,2.01B,2.13B,2.49B,2.71B
Buildings,285M,44M,44M,44M,44M
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,217M,272M,305M,377M,424M
"Other Property, Plant & Equipment",612M,667M,691M,773M,809M
Accumulated Depreciation,521M,568M,678M,796M,962M
Total Investments and Advances,260M,283M,418M,213M,211M
Other Long-Term Investments,231M,230M,314M,40M,28M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.02B,969M,1.04B,10.36B,6.52B
Net Goodwill,831M,824M,897M,7.11B,3.24B
Net Other Intangibles,185M,145M,142M,3.25B,3.29B
Other Assets,48M,105M,171M,232M,212M
Total Assets,6.96B,7.32B,7.59B,15.22B,12.25B
Total Assets Growth,-,5.13%,3.68%,100.62%,-19.48%
