Item,2019,2020,2021,2022,2023
Cash & Short Term Investments,2.18B,2.47B,5.69B,3.21B,2.43B
Cash & Short Term Investments Growth,-,13.19%,130.18%,-43.67%,-24.15%
Cash Only,2.18B,2.36B,5.63B,3.21B,2.25B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,16.58%,15.86%,29.84%,18.31%,15.38%
Total Accounts Receivable,1.02B,1.15B,1.06B,1.04B,1.14B
Total Accounts Receivable Growth,-,13.20%,-7.66%,-1.79%,9.50%
"Accounts Receivables, Net",1.02B,1.15B,1.06B,1.04B,1.14B
"Accounts Receivables, Gross",1.04B,1.17B,1.1B,1.08B,1.17B
Bad Debt/Doubtful Accounts,(23M),(24M),(38M),(39M),(30M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,42.25,37.98,44.54,49.67,40.58
Inventories,5.41B,5.17B,5.61B,5.97B,5.14B
Finished Goods,5.41B,5.17B,5.61B,5.97B,5.14B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,262M,62M,177M,327M,90M
Miscellaneous Current Assets,262M,62M,177M,327M,90M
Total Current Assets,8.87B,8.86B,12.54B,10.54B,8.8B
"Net Property, Plant & Equipment",2.51B,5.04B,4.87B,4.9B,5.1B
"Property, Plant & Equipment - Gross",9.2B,11.94B,11.87B,11B,9.72B
Buildings,637M,650M,658M,671M,688M
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",7.98B,8.49B,8.53B,7.58B,6.19B
Accumulated Depreciation,6.69B,6.9B,7B,6.09B,4.62B
Total Investments and Advances,26M,89M,91M,104M,47M
Other Long-Term Investments,26M,89M,91M,104M,47M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.28B,1.35B,1.29B,1.66B,1.57B
Net Goodwill,915M,984M,986M,1.38B,1.38B
Net Other Intangibles,368M,363M,301M,275M,-
Other Assets,157M,252M,260M,273M,280M
Total Assets,13.17B,15.59B,19.07B,17.5B,15.8B
Total Assets Growth,-,18.35%,22.29%,-8.20%,-9.72%
