Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.25B,620M,2.94B,2.4B,1.17B
Cash & Short Term Investments Growth,-,-50.52%,373.71%,-18.15%,-51.46%
Cash Only,1.24B,590M,2.92B,2.39B,1.16B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.32%,1.20%,5.44%,4.46%,2.20%
Total Accounts Receivable,2.32B,2.35B,2.4B,2.35B,2.19B
Total Accounts Receivable Growth,-,1.12%,2.26%,-2.00%,-6.77%
"Accounts Receivables, Net",2.32B,2.35B,2.4B,2.35B,2.19B
"Accounts Receivables, Gross",2.39B,2.42B,2.48B,2.42B,2.26B
Bad Debt/Doubtful Accounts,(75M),(75M),(80M),(73M),(65M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,6.89,7.37,7.14,8.14,8.61
Inventories,2.45B,2.58B,2.74B,2.74B,3.22B
Finished Goods,1.64B,1.72B,1.81B,1.73B,2.12B
Work in Progress,297M,318M,335M,381M,397M
Raw Materials,510M,544M,602M,628M,707M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.39B,1.12B,891M,1.34B,1.56B
Miscellaneous Current Assets,1.39B,1.12B,891M,1.34B,1.56B
Total Current Assets,7.41B,6.66B,8.97B,8.84B,8.14B
"Net Property, Plant & Equipment",5.38B,5.66B,6.34B,6.45B,6.49B
"Property, Plant & Equipment - Gross",10.49B,11.13B,12.34B,12.54B,12.9B
Buildings,2.72B,2.84B,3.08B,3.14B,3.25B
Land & Improvements,173M,164M,166M,133M,127M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",183M,190M,217M,234M,266M
Accumulated Depreciation,5.11B,5.47B,6B,6.09B,6.4B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,40.04B,38.35B,37.43B,36.66B,36.93B
Net Goodwill,23.6B,23.38B,23.62B,23.89B,24.62B
Net Other Intangibles,16.44B,14.98B,13.81B,12.77B,12.31B
Other Assets,1.08B,1.09B,1.27B,1.92B,1.37B
Total Assets,53.9B,51.77B,54.01B,53.87B,52.93B
Total Assets Growth,-,-3.97%,4.34%,-0.27%,-1.73%
