Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,3.86B,5.54B,11.75B,8.77B,4.77B
Cash & Short Term Investments Growth,-,43.58%,112.09%,-25.41%,-45.59%
Cash Only,3.86B,5.54B,11.75B,8.77B,4.77B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.53%,2.10%,4.29%,3.18%,1.85%
Total Accounts Receivable,11.1B,11.29B,11.47B,12.01B,12.67B
Total Accounts Receivable Growth,-,1.69%,1.54%,4.73%,5.53%
"Accounts Receivables, Net",11.1B,11.29B,11.47B,12.01B,12.67B
"Accounts Receivables, Gross",11.46B,11.71B,12.27B,12.67B,13.41B
Bad Debt/Doubtful Accounts,(352M),(419M),(807M),(658M),(736M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,8.51,9.65,9.03,9.69,9.58
Inventories,3.75B,3.88B,-,-,-
Finished Goods,3.75B,3.88B,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,3.14B,4.68B,3.52B,4.03B,4.39B
Miscellaneous Current Assets,3.14B,4.68B,3.52B,4.03B,4.39B
Total Current Assets,21.85B,25.39B,26.74B,24.81B,21.83B
"Net Property, Plant & Equipment",44.44B,52.36B,55.78B,60.51B,61.48B
"Property, Plant & Equipment - Gross",95.74B,105.6B,110.17B,116.13B,118.38B
Buildings,14.19B,15.1B,15.89B,20.26B,17.4B
Land & Improvements,1.54B,1.48B,1.85B,1.72B,1.7B
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,51.31B,53.24B,54.39B,55.61B,56.9B
Total Investments and Advances,7.93B,7.73B,8.28B,8.7B,7.75B
Other Long-Term Investments,7.93B,7.73B,8.28B,8.7B,7.75B
Long-Term Note Receivables,1.4B,1.34B,1.09B,1.63B,1.89B
Intangible Assets,163.88B,164.22B,165.42B,163.13B,147.17B
Net Goodwill,66.15B,68.73B,70.67B,70.19B,58.49B
Net Other Intangibles,97.72B,95.49B,94.75B,92.95B,88.67B
Other Assets,12.19B,12.38B,16.55B,17.12B,17.16B
Total Assets,251.68B,263.41B,273.87B,275.91B,257.28B
Total Assets Growth,-,4.66%,3.97%,0.74%,-6.75%
