Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,736M,906M,925M,866M,950M
Cash & Short Term Investments Growth,-,23.10%,2.10%,-6.38%,9.70%
Cash Only,726M,883M,888M,832M,775M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,6.05%,6.03%,5.81%,5.76%,6.04%
Total Accounts Receivable,1.4B,1.44B,1.26B,1.3B,1.5B
Total Accounts Receivable Growth,-,2.86%,-12.22%,2.61%,15.96%
"Accounts Receivables, Net",1.4B,1.44B,1.26B,1.3B,1.5B
"Accounts Receivables, Gross",1.48B,1.52B,1.35B,1.38B,1.57B
Bad Debt/Doubtful Accounts,(82M),(76M),(89M),(78M),(70M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,11.10,10.90,13.03,13.43,11.95
Inventories,1.25B,1.4B,1.67B,1.69B,2.07B
Finished Goods,960M,1.05B,1.17B,1.15B,1.36B
Work in Progress,37M,49M,45M,39M,48M
Raw Materials,253M,305M,454M,505M,666M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,407M,433M,476M,542M,585M
Miscellaneous Current Assets,407M,433M,476M,542M,585M
Total Current Assets,3.79B,4.18B,4.34B,4.4B,5.11B
"Net Property, Plant & Equipment",3.88B,4.25B,4.24B,4.26B,4.79B
"Property, Plant & Equipment - Gross",8.34B,9.08B,9.27B,9.43B,10.06B
Buildings,1.6B,1.6B,1.62B,1.6B,1.83B
Land & Improvements,152M,153M,166M,163M,180M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,4.46B,4.83B,5.04B,5.17B,5.28B
Total Investments and Advances,46M,54M,85M,84M,70M
Other Long-Term Investments,-,4M,29M,20M,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,4.17B,6.18B,6.72B,5.75B,5.27B
Net Goodwill,2.53B,3.51B,3.82B,3.28B,3.35B
Net Other Intangibles,1.64B,2.67B,2.89B,2.46B,1.92B
Other Assets,122M,197M,251M,363M,356M
Total Assets,12.16B,15.03B,15.92B,15.04B,15.73B
Total Assets Growth,-,23.62%,5.89%,-5.53%,4.59%
