Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,61M,3.58B,581M,125M,376M
Cash & Short Term Investments Growth,-,"5,762.30%",-83.75%,-78.49%,200.80%
Cash Only,61M,3.58B,581M,125M,376M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.27%,12.70%,1.96%,0.42%,1.18%
Total Accounts Receivable,2.28B,2.32B,2.62B,2.55B,2.75B
Total Accounts Receivable Growth,-,1.93%,13.15%,-2.97%,8.09%
"Accounts Receivables, Net",1.93B,1.95B,2.1B,2.28B,2.46B
"Accounts Receivables, Gross",1.96B,1.98B,2.13B,2.3B,2.49B
Bad Debt/Doubtful Accounts,(29M),(28M),(33M),(25M),(26M)
Other Receivable,344M,370M,527M,268M,291M
Accounts Receivable Turnover,6.56,6.66,5.80,7.04,7.16
Inventories,102M,106M,124M,135M,164M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,102M,106M,124M,135M,164M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,207M,208M,211M,263M,259M
Miscellaneous Current Assets,207M,208M,211M,263M,259M
Total Current Assets,2.65B,6.21B,3.54B,3.07B,3.55B
"Net Property, Plant & Equipment",11.94B,13.32B,14.61B,14.87B,16.18B
"Property, Plant & Equipment - Gross",30.21B,31.97B,34.71B,35.41B,37.8B
Buildings,3B,3.17B,3.53B,3.54B,3.81B
Land & Improvements,15.9B,16.57B,17.58B,18.47B,19.28B
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",677M,710M,751M,677M,664M
Accumulated Depreciation,18.26B,18.66B,20.1B,20.54B,21.63B
Total Investments and Advances,702M,796M,773M,780M,926M
Other Long-Term Investments,296M,313M,347M,348M,348M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,7B,7.05B,10.02B,9.93B,10.15B
Net Goodwill,6.43B,6.53B,8.99B,9.03B,9.32B
Net Other Intangibles,572M,521M,1.02B,898M,827M
Other Assets,359M,368M,400M,452M,565M
Total Assets,22.97B,28.15B,29.67B,29.61B,31.84B
Total Assets Growth,-,22.58%,5.39%,-0.18%,7.53%
