Item,31-Mar-2021,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022
Cash & Short Term Investments,1.24B,716M,726M,722M,522M
Cash & Short Term Investments Growth,-,-42.21%,1.40%,-0.55%,-27.70%
Cash Only,1.24B,716M,726M,722M,522M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,11.29%,6.90%,7.01%,7.07%,5.15%
Total Accounts Receivable,435M,416M,465M,420M,529M
Total Accounts Receivable Growth,-,-4.37%,11.78%,-9.68%,25.95%
"Accounts Receivables, Net",339M,316M,408M,367M,479M
"Accounts Receivables, Gross",340M,317M,408M,367M,480M
Bad Debt/Doubtful Accounts,(1M),(1M),-,-,(1M)
Other Receivable,96M,100M,57M,-,-
Accounts Receivable Turnover,2.78,2.87,2.76,3.06,2.50
Inventories,1.45B,1.46B,1.42B,1.4B,1.48B
Finished Goods,516M,500M,479M,478M,487M
Work in Progress,627M,656M,640M,631M,676M
Raw Materials,310M,300M,301M,293M,320M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,201M,211M,209M,193M,248M
Miscellaneous Current Assets,201M,211M,209M,193M,248M
Total Current Assets,3.33B,2.8B,2.82B,2.74B,2.78B
"Net Property, Plant & Equipment",2.65B,2.64B,2.6B,2.58B,2.51B
"Property, Plant & Equipment - Gross",5.29B,5.34B,5.34B,5.35B,5.28B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.64B,2.7B,2.74B,2.77B,2.77B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,4.65B,4.65B,4.63B,4.62B,4.6B
Net Goodwill,4.09B,4.09B,4.08B,4.07B,4.05B
Net Other Intangibles,563M,557M,554M,-,-
Other Assets,118M,107M,105M,107M,97M
Total Assets,10.97B,10.38B,10.36B,10.22B,10.13B
Total Assets Growth,-,-5.40%,-0.21%,-1.33%,-0.88%
