Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash Only,5.47B,6.21B,5.05B,4.28B,5.17B
Cash Growth,-,13.51%,-18.64%,-15.36%,21.01%
Total Investment Assets,141.24B,139.8B,137.93B,128.32B,116.24B
Investments Growth,-,-1.02%,-1.34%,-6.96%,-9.42%
Total Fixed Income Securities Investment,-,-,-,-,-
Bonds,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,-,-,-,-,-
Common Stocks,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Real Estate Assets,-,-,-,-,-
"Mortgage, Policy & Other Loans",-,-,-,-,-
Other Investments,-,-,1.88B,-,-
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,788M,787M,693M,730M,687M
Premium Balance Growth,-,-0.13%,-11.94%,5.34%,-5.89%
"Net Property, Plant & Equipment",563M,542M,538M,538M,512M
Investment in Unconsolidated Subs.,-,-,-,-,-
Other Assets (Including Intangibles),12.46B,12.26B,12.33B,12.3B,12.22B
Separate & Variable Account Assets,-,-,-,-,-
Deferred Charges,9.81B,9.71B,9.53B,9.08B,8.46B
Tangible Other Assets,2.65B,2.55B,2.81B,3.21B,3.77B
Intangible Assets,-,-,-,-,-
Total Assets,160.52B,159.6B,164.55B,146.16B,134.84B
Assets - Total - 1 Year Growth,-,-0.58%,3.11%,-11.18%,-7.75%
Return On Average Assets,-,-,-,-,2.57%
