Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,1.15B,1.17B,1.07B,812M,868M
Cash & Short Term Investments Growth,-,1.91%,-8.45%,-24.32%,6.90%
Cash Only,1.15B,1.17B,1.07B,812M,868M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,17.63%,17.81%,16.22%,13.04%,13.62%
Total Accounts Receivable,753M,803M,933M,796M,813M
Total Accounts Receivable Growth,-,6.64%,16.19%,-14.68%,2.14%
"Accounts Receivables, Net",753M,803M,933M,796M,813M
"Accounts Receivables, Gross",760M,810M,939M,802M,826M
Bad Debt/Doubtful Accounts,(7M),(7M),(6M),(6M),(13M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.08,1.13,1.06,1.29,1.22
Inventories,1.75B,1.77B,1.79B,1.77B,1.82B
Finished Goods,1.42B,1.43B,1.44B,1.43B,1.47B
Work in Progress,199M,208M,221M,220M,225M
Raw Materials,128M,135M,137M,121M,126M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,263M,246M,233M,276M,277M
Miscellaneous Current Assets,93M,246M,233M,276M,122M
Total Current Assets,3.92B,3.99B,4.03B,3.65B,3.78B
"Net Property, Plant & Equipment",899M,816M,813M,818M,949M
"Property, Plant & Equipment - Gross",1.69B,-,-,-,1.8B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,792M,-,-,-,849M
Total Investments and Advances,-,1M,5M,12M,19M
Other Long-Term Investments,-,1M,5M,12M,19M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.46B,1.45B,1.44B,1.42B,1.35B
Net Goodwill,779M,778M,776M,771M,761M
Net Other Intangibles,676M,670M,-,-,-
Other Assets,181M,252M,259M,253M,208M
Total Assets,6.52B,6.58B,6.62B,6.23B,6.37B
Total Assets Growth,-,0.87%,0.56%,-5.89%,2.36%
