Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,133.32M,174.24M,299.97M,170.54M,120.89M
Cash & Short Term Investments Growth,-,30.69%,72.17%,-43.15%,-29.11%
Cash Only,133.32M,174.24M,299.97M,170.54M,120.89M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,3.71%,4.75%,7.91%,4.45%,3.18%
Total Accounts Receivable,470.62M,516.69M,489.39M,465.72M,499.54M
Total Accounts Receivable Growth,-,9.79%,-5.28%,-4.84%,7.26%
"Accounts Receivables, Net",470.62M,516.69M,472.04M,465.72M,499.54M
"Accounts Receivables, Gross",470.62M,516.69M,479.59M,465.72M,499.54M
Bad Debt/Doubtful Accounts,-,-,(7.55M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.25,1.25,1.22,1.31,1.27
Inventories,295.84M,303.98M,327.2M,366.38M,383.22M
Finished Goods,194.63M,201.81M,211.63M,225.52M,235.51M
Work in Progress,49.81M,52.42M,54.56M,63.56M,65.88M
Raw Materials,101.08M,101.75M,111.09M,136.41M,141.4M
Progress Payments & Other,(49.67M),(52M),(50.08M),(59.11M),(59.58M)
Other Current Assets,49.64M,50.87M,48.28M,51.6M,56.2M
Miscellaneous Current Assets,49.64M,50.87M,48.28M,51.6M,56.2M
Total Current Assets,949.43M,1.05B,1.16B,1.05B,1.06B
"Net Property, Plant & Equipment",482.29M,473.84M,466.42M,473.33M,463.53M
"Property, Plant & Equipment - Gross",-,999.05M,1B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,525.22M,533.8M,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.1B,2.09B,2.07B,2.21B,2.18B
Net Goodwill,1.72B,1.72B,1.71B,1.84B,1.82B
Net Other Intangibles,383.86M,370.71M,-,-,-
Other Assets,51.33M,55.46M,77.81M,78.06M,77.49M
Total Assets,3.59B,3.67B,3.79B,3.83B,3.8B
Total Assets Growth,-,2.09%,3.29%,1.16%,-1.01%
