Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.61B,2.63B,3.13B,1.22B,1.06B
Cash & Short Term Investments Growth,-,63.30%,18.64%,-61.12%,-13.09%
Cash Only,1.61B,2.63B,3.13B,1.22B,1.06B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.52%,7.25%,8.49%,3.38%,2.91%
Total Accounts Receivable,2.32B,2.4B,2.09B,2.41B,2.52B
Total Accounts Receivable Growth,-,3.27%,-12.88%,15.16%,4.57%
"Accounts Receivables, Net",2.32B,2.4B,2.09B,2.41B,2.52B
"Accounts Receivables, Gross",2.32B,2.43B,2.09B,2.41B,2.52B
Bad Debt/Doubtful Accounts,-,(25M),-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,5.37,5.34,6.19,5.45,5.36
Inventories,4.26B,4.38B,4.45B,4.99B,5.33B
Finished Goods,2.3B,2.43B,2.41B,2.78B,3.08B
Work in Progress,-,-,-,-,-
Raw Materials,736M,741M,779M,851M,856M
Progress Payments & Other,1.23B,1.22B,1.26B,1.36B,1.4B
Other Current Assets,1.01B,406M,466M,384M,397M
Miscellaneous Current Assets,1.01B,406M,466M,384M,397M
Total Current Assets,9.21B,9.82B,10.14B,9B,9.3B
"Net Property, Plant & Equipment",7.73B,8.37B,8.01B,8.19B,8.39B
"Property, Plant & Equipment - Gross",16.28B,17.05B,16.88B,17.21B,17.53B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,8.56B,8.68B,8.86B,9.02B,9.14B
Total Investments and Advances,119M,112M,111M,105M,103M
Other Long-Term Investments,119M,112M,111M,105M,103M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,17.14B,17.07B,17.01B,16.95B,16.86B
Net Goodwill,10.55B,10.55B,10.55B,10.55B,10.53B
Net Other Intangibles,6.59B,6.52B,-,-,-
Other Assets,1.47B,939M,1.56B,1.66B,1.59B
Total Assets,35.66B,36.31B,36.82B,35.9B,36.25B
Total Assets Growth,-,1.81%,1.42%,-2.51%,0.97%
