Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,827.6M,1.17B,1.42B,2.29B,2.38B
Cash & Short Term Investments Growth,-,41.41%,21.40%,61.23%,3.69%
Cash Only,827.6M,1.17B,1.42B,2.29B,2.38B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,9.63%,13.12%,15.30%,24.08%,25.38%
Total Accounts Receivable,943.2M,1.35B,975.6M,813M,702.9M
Total Accounts Receivable Growth,-,42.88%,-27.60%,-16.67%,-13.54%
"Accounts Receivables, Net",943.2M,942.7M,975.6M,813M,702.9M
"Accounts Receivables, Gross",983M,983.2M,1.02B,855.1M,743.9M
Bad Debt/Doubtful Accounts,(39.8M),(40.5M),(42M),(42.1M),(41M)
Other Receivable,-,404.9M,-,-,-
Accounts Receivable Turnover,1.24,0.98,1.51,1.77,1.43
Inventories,502.9M,501.2M,518.3M,526.1M,581.2M
Finished Goods,285M,284.9M,270.7M,254.7M,292.8M
Work in Progress,58.5M,53M,54.6M,58.2M,59.5M
Raw Materials,159.4M,163.3M,193M,213.2M,228.9M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,144.5M,149.6M,591.5M,251.5M,249.6M
Miscellaneous Current Assets,81.5M,123.9M,561.2M,219.3M,213.3M
Total Current Assets,2.42B,3.17B,3.51B,3.88B,3.91B
"Net Property, Plant & Equipment",551.1M,648.3M,554.3M,506.9M,490.1M
"Property, Plant & Equipment - Gross",1.29B,1.34B,1.27B,1.23B,1.22B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,739.1M,695.9M,712M,720.8M,731.1M
Total Investments and Advances,-,9.5M,-,-,-
Other Long-Term Investments,-,9.5M,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.07B,4.94B,4.98B,4.87B,4.72B
Net Goodwill,3.26B,3.28B,3.33B,3.32B,3.29B
Net Other Intangibles,1.8B,1.66B,-,-,-
Other Assets,556.3M,130.7M,244.7M,257M,235.9M
Total Assets,8.59B,8.92B,9.29B,9.51B,9.36B
Total Assets Growth,-,3.83%,4.09%,2.47%,-1.65%
