Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,13.92B,22.83B,16.11B,14.76B,11.82B
Cash & Short Term Investments Growth,-,63.98%,-29.43%,-8.39%,-19.94%
Cash Only,13.92B,22.83B,16.11B,14.76B,11.82B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.63%,9.57%,6.58%,6.03%,4.80%
Total Accounts Receivable,7.52B,6.1B,7.35B,8.28B,7.67B
Total Accounts Receivable Growth,-,-18.86%,20.42%,12.67%,-7.32%
"Accounts Receivables, Net",-,6.1B,7.35B,8.28B,7.67B
"Accounts Receivables, Gross",-,6.1B,7.35B,8.28B,7.67B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,20.32,23.11,19.12,18.46,18.45
Inventories,59.92B,47.75B,57.48B,56.51B,61.23B
Finished Goods,-,47.75B,57.48B,56.51B,61.23B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,1.56B,2.02B,1.52B,2.5B
Miscellaneous Current Assets,-,1.56B,2.02B,1.52B,2.5B
Total Current Assets,84.16B,78.24B,82.96B,81.07B,83.22B
"Net Property, Plant & Equipment",114.39B,109.6B,110.33B,112.62B,113.22B
"Property, Plant & Equipment - Gross",-,207.94B,210.5B,207.43B,217.51B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,98.35B,100.17B,94.81B,104.3B
Total Investments and Advances,-,11.43B,12.56B,11.89B,9.89B
Other Long-Term Investments,-,11.43B,12.56B,11.89B,9.89B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,28.66B,29.16B,28.92B,33.81B,29.44B
Net Goodwill,-,29.16B,28.92B,29.01B,29.44B
Net Other Intangibles,-,-,-,-,-
Other Assets,-,10.12B,10.08B,3.99B,10.38B
Total Assets,247.2B,238.55B,244.85B,244.86B,246.14B
Total Assets Growth,-,-3.50%,2.64%,0.00%,0.52%
