Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,6.84B,6.61B,7.41B,5.33B,5.66B
Cash & Short Term Investments Growth,-,-3.43%,12.04%,-28.09%,6.35%
Cash Only,4.89B,4.36B,5.34B,4.3B,4.74B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,10.07%,9.85%,10.90%,8.44%,9.01%
Total Accounts Receivable,4.15B,4.57B,4.49B,3.79B,4.12B
Total Accounts Receivable Growth,-,10.05%,-1.60%,-15.71%,8.74%
"Accounts Receivables, Net",4.15B,4.57B,4.49B,3.79B,4.12B
"Accounts Receivables, Gross",4.21B,4.62B,4.54B,3.84B,4.17B
Bad Debt/Doubtful Accounts,(57M),(57M),(47M),(54M),(51M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.50,1.63,1.61,1.73,1.51
Inventories,1.77B,1.68B,1.62B,1.48B,1.49B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.16B,1.14B,1.26B,2.04B,1.9B
Miscellaneous Current Assets,1.16B,1.14B,1.26B,2.04B,1.9B
Total Current Assets,13.93B,13.99B,14.77B,12.63B,13.18B
"Net Property, Plant & Equipment",5B,5.04B,5.66B,5.25B,5.3B
"Property, Plant & Equipment - Gross",-,-,7.56B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,1.89B,-,-
Total Investments and Advances,3.8B,5.06B,2.51B,2.72B,2.49B
Other Long-Term Investments,3.8B,5.06B,2.51B,2.72B,2.49B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,42.68B,42.23B,41.79B,38.65B,38.2B
Net Goodwill,8.33B,8.33B,8.33B,8.31B,8.31B
Net Other Intangibles,34.34B,33.9B,-,-,-
Other Assets,2.59B,781M,3.22B,3.83B,3.71B
Total Assets,67.98B,67.1B,67.95B,63.08B,62.87B
Total Assets Growth,-,-1.30%,1.27%,-7.17%,-0.33%
