Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,4.35B,8.8B,4.88B,9.52B,11.95B
Cash & Short Term Investments Growth,-,102.28%,-44.57%,95.06%,25.56%
Cash Only,376M,273M,265M,426M,624M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,20.13%,31.47%,21.04%,32.28%,34.80%
Total Accounts Receivable,2.82B,3.1B,3.93B,3.98B,3.86B
Total Accounts Receivable Growth,-,9.71%,27.07%,1.17%,-2.96%
"Accounts Receivables, Net",2.71B,2.96B,3.06B,3.09B,3.61B
"Accounts Receivables, Gross",3.47B,3.75B,3.75B,3.76B,4.24B
Bad Debt/Doubtful Accounts,(761M),(792M),(683M),(666M),(627M)
Other Receivable,115M,136M,-,-,-
Accounts Receivable Turnover,1.89,2.12,1.77,1.99,1.93
Inventories,365M,445M,498M,354M,604M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,297M,-,-
Progress Payments & Other,-,-,201M,-,-
Other Current Assets,1.09B,2.23B,1.53B,2.99B,4.74B
Miscellaneous Current Assets,1.09B,2.23B,1.53B,2.99B,4.74B
Total Current Assets,8.62B,14.57B,10.84B,16.84B,21.15B
"Net Property, Plant & Equipment",2.32B,2.27B,1.96B,1.9B,1.84B
"Property, Plant & Equipment - Gross",3.76B,3.81B,3.27B,3.32B,3.22B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.43B,1.54B,1.31B,1.42B,1.39B
Total Investments and Advances,2.85B,3.8B,3.69B,4.66B,5.51B
Other Long-Term Investments,2.68B,3.63B,3.54B,4.51B,5.38B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,4.71B,4.72B,4.31B,4.19B,4.11B
Net Goodwill,1.79B,1.8B,1.8B,1.8B,1.66B
Net Other Intangibles,2.92B,2.92B,-,-,-
Other Assets,614M,619M,229M,255M,233M
Total Assets,21.62B,27.97B,23.18B,29.48B,34.34B
Total Assets Growth,-,29.35%,-17.10%,27.15%,16.48%
