Item,01-Jan-0001,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022
Cash & Short Term Investments,3.96B,4.96B,4B,4.6B,3.84B
Cash & Short Term Investments Growth,-,25.30%,-19.42%,15.22%,-16.66%
Cash Only,3.96B,4.96B,4B,4.6B,3.84B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,18.92%,22.57%,18.51%,20.85%,17.96%
Total Accounts Receivable,1.63B,1.7B,2.27B,2.08B,2.21B
Total Accounts Receivable Growth,-,4.48%,33.08%,-8.21%,6.25%
"Accounts Receivables, Net",-,1.7B,2.27B,2.08B,2.21B
"Accounts Receivables, Gross",-,1.74B,2.31B,2.12B,2.25B
Bad Debt/Doubtful Accounts,-,(40M),(40M),(36M),(36M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.19,2.32,1.94,2.67,1.92
Inventories,2.92B,2.51B,2.63B,2.61B,2.83B
Finished Goods,-,1.5B,1.65B,1.59B,1.72B
Work in Progress,-,330M,290M,299M,336M
Raw Materials,-,674M,697M,726M,778M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,603M,593M,661M,625M
Miscellaneous Current Assets,-,603M,593M,661M,625M
Total Current Assets,9.3B,9.77B,9.49B,9.96B,9.5B
"Net Property, Plant & Equipment",4.6B,4.47B,4.47B,4.55B,4.53B
"Property, Plant & Equipment - Gross",-,7.81B,7.88B,8.05B,8.03B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,1.44B,1.38B,1.43B,1.43B
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,3.34B,3.41B,3.49B,3.5B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,6.71B,6.5B,6.46B,6.23B
Net Goodwill,-,2.62B,2.58B,2.57B,2.59B
Net Other Intangibles,-,4.1B,3.92B,-,-
Other Assets,-,1.02B,1.13B,1.12B,1.1B
Total Assets,20.91B,21.97B,21.58B,22.08B,21.36B
Total Assets Growth,-,5.07%,-1.78%,2.31%,-3.26%
