Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,9.63B,10B,10.6B,11.14B,10.73B
Cash & Short Term Investments Growth,-,3.90%,6.03%,5.02%,-3.61%
Cash Only,9.21B,9.72B,10.42B,10.97B,10.48B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,40.83%,41.71%,42.32%,44.52%,42.94%
Total Accounts Receivable,682M,585M,972M,530M,572M
Total Accounts Receivable Growth,-,-14.22%,66.15%,-45.47%,7.92%
"Accounts Receivables, Net",682M,585M,972M,530M,572M
"Accounts Receivables, Gross",726M,621M,1.01B,561M,572M
Bad Debt/Doubtful Accounts,(44M),(36M),(36M),(31M),-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,3.37,3.54,2.23,3.34,2.87
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,580M,626M,981M,821M,1.2B
Miscellaneous Current Assets,580M,626M,981M,821M,1.2B
Total Current Assets,10.89B,11.21B,12.56B,12.49B,12.51B
"Net Property, Plant & Equipment",174M,171M,406M,174M,175M
"Property, Plant & Equipment - Gross",-,-,1.26B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,703M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,856M,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,10.48B,10.56B,10.46B,10.53B,10.51B
Net Goodwill,2.68B,9.77B,9.8B,9.8B,9.93B
Net Other Intangibles,7.81B,798M,-,-,-
Other Assets,583M,632M,260M,511M,545M
Total Assets,23.57B,23.98B,25.06B,25.01B,24.99B
Total Assets Growth,-,1.72%,4.50%,-0.18%,-0.07%
