Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,9.52B,11.11B,12.16B,10.22B,9.01B
Cash & Short Term Investments Growth,-,16.67%,9.53%,-15.98%,-11.88%
Cash Only,9.52B,11.11B,12.16B,10.22B,9.01B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,12.60%,14.63%,16.10%,13.96%,12.56%
Total Accounts Receivable,2.43B,2.23B,2.07B,2.54B,3.08B
Total Accounts Receivable Growth,-,-7.88%,-7.30%,22.60%,21.43%
"Accounts Receivables, Net",2.43B,2.23B,2.07B,2.54B,3.08B
"Accounts Receivables, Gross",2.43B,2.23B,2.2B,2.54B,3.08B
Bad Debt/Doubtful Accounts,-,-,(129M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.73,3.03,3.58,3.04,2.63
Inventories,1B,1.16B,1.3B,1.52B,1.67B
Finished Goods,321M,329M,423M,526M,590M
Work in Progress,559M,673M,680M,779M,851M
Raw Materials,124M,158M,194M,215M,227M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.3B,1.14B,1.06B,1.06B,1.05B
Miscellaneous Current Assets,694M,628M,516M,484M,365M
Total Current Assets,14.25B,15.64B,16.59B,15.34B,14.81B
"Net Property, Plant & Equipment",2.42B,2.37B,2.94B,2.3B,2.26B
"Property, Plant & Equipment - Gross",-,-,6.13B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,3.2B,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,57.53B,56.18B,54.82B,53.69B,52.84B
Net Goodwill,43.46B,43.46B,43.45B,43.45B,43.6B
Net Other Intangibles,14.07B,12.72B,-,-,-
Other Assets,1.34B,1.7B,1.22B,1.89B,1.8B
Total Assets,75.52B,75.88B,75.57B,73.22B,71.72B
Total Assets Growth,-,0.47%,-0.41%,-3.10%,-2.06%
