Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Total Cash & Due from Banks,12.64B,13.72B,1.16B,9.94B,6.51B
Cash & Due from Banks Growth,-,8.50%,-91.58%,760.26%,-34.44%
Investments - Total,35.42B,35.78B,44.45B,34.1B,42.7B
Investments Growth,-,1.00%,24.25%,-23.29%,25.22%
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,-,-,-,-,-
Federal Agency Securities,-,-,-,-,-
State & Municipal Securities,-,-,-,-,-
Mortgage Backed Securities,-,-,-,-,-
Other Securities,-,-,-,-,-
Other Investments,8.13B,7.67B,15.41B,6.72B,8.17B
Net Loans,120.63B,121.46B,126.41B,129.59B,154.21B
Gross Loans - Net of Unearned Income,122.58B,123.32B,-,-,-
Commercial & Industrial Loans,42.84B,41.85B,44.5B,45.72B,51.8B
Consumer & Installment Loans,31.12B,31.96B,32.98B,33.31B,32.52B
Real Estate Mortgage Loans,32.38B,33.4B,34.84B,36.48B,42.21B
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances (Reserves),(1.95B),(1.86B),(1.76B),(1.72B),(1.96B)
Customer Liability on Acceptances,-,-,-,-,-
Loans - 1 Yr Growth Rate,-,0.69%,4.07%,2.52%,19.00%
Loans (Total) / Total Deposits,-,-,-,-,-
Loans (Total) / Total Assets,-,-,-,-,-
"Net Property, Plant & Equipment",735M,732M,1.53B,793M,885M
Other Assets (Including Intangibles),15.15B,14.8B,14.36B,17.17B,21.72B
Other Assets,8.1B,7.74B,6.38B,9.94B,13.64B
Intangible Assets,7.05B,7.07B,7.98B,7.23B,8.08B
Interest Receivables,521M,517M,506M,511M,687M
Total Assets,185.1B,187.01B,189.82B,192.1B,226.71B
Assets - Total Growth,-,1.03%,1.50%,1.20%,18.02%
Return On Average Assets,-,-,-,-,1.24%
