Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,449.5M,303.4M,149.9M,169.7M,288.4M
Cash & Short Term Investments Growth,-,-32.50%,-50.59%,13.21%,69.95%
Cash Only,449.5M,303.4M,149.9M,169.7M,288.4M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.88%,1.25%,0.53%,0.58%,0.98%
Total Accounts Receivable,1.99B,1.99B,1.56B,1.84B,1.59B
Total Accounts Receivable Growth,-,-0.29%,-21.53%,18.02%,-13.57%
"Accounts Receivables, Net",1.81B,1.83B,1.46B,1.84B,1.59B
"Accounts Receivables, Gross",1.95B,1.97B,1.56B,1.95B,1.69B
Bad Debt/Doubtful Accounts,(141.2M),(139.1M),(103.1M),(107.8M),(102.2M)
Other Receivable,185.6M,161.4M,-,-,-
Accounts Receivable Turnover,2.16,2.14,2.61,2.41,2.76
Inventories,3.68B,4.13B,5.45B,6.27B,6.64B
Finished Goods,2.51B,2.78B,3.51B,4.02B,4.11B
Work in Progress,299.3M,350.3M,393.9M,428.9M,456.3M
Raw Materials,867.9M,1.01B,1.54B,1.82B,2.06B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,432M,449.6M,1.37B,1.46B,1.46B
Miscellaneous Current Assets,23.6M,30.3M,861.6M,961.5M,950M
Total Current Assets,6.56B,6.88B,8.53B,9.74B,9.97B
"Net Property, Plant & Equipment",2.52B,2.51B,2.78B,2.79B,2.71B
"Property, Plant & Equipment - Gross",-,-,5.44B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,476.3M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,2.66B,-,-
Total Investments and Advances,20M,16.9M,20.6M,-,-
Other Long-Term Investments,20M,16.9M,20.6M,-,-
Long-Term Note Receivables,142.7M,138M,-,-,-
Intangible Assets,13.93B,13.84B,13.48B,13.24B,13.03B
Net Goodwill,9.99B,9.94B,8.78B,8.6B,8.46B
Net Other Intangibles,3.95B,3.89B,-,-,-
Other Assets,793.9M,945.4M,3.37B,3.6B,3.65B
Total Assets,23.96B,24.33B,28.18B,29.36B,29.36B
Total Assets Growth,-,1.52%,15.84%,4.18%,0.01%
