Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,947.46M,770.14M,605.05M,431.56M,654.49M
Cash & Short Term Investments Growth,-,-18.71%,-21.44%,-28.67%,51.66%
Cash Only,947.46M,770.14M,605.05M,231.62M,654.49M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,18.62%,15.54%,11.44%,8.08%,13.06%
Total Accounts Receivable,154.34M,154.42M,169.21M,233.68M,192.75M
Total Accounts Receivable Growth,-,0.05%,9.58%,38.10%,-17.51%
"Accounts Receivables, Net",154.34M,154.42M,169.21M,233.68M,192.75M
"Accounts Receivables, Gross",154.34M,154.42M,169.21M,234.69M,192.75M
Bad Debt/Doubtful Accounts,-,-,-,(1.01M),-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,12.56,12.74,11.79,11.68,12.17
Inventories,1.35B,1.44B,1.92B,1.5B,1.57B
Finished Goods,1.35B,1.44B,1.92B,1.5B,1.57B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,108.39M,126.69M,143.09M,116.72M,114.08M
Miscellaneous Current Assets,108.39M,108.15M,105.58M,103.2M,114.08M
Total Current Assets,2.56B,2.49B,2.83B,2.28B,2.53B
"Net Property, Plant & Equipment",2.45B,2.38B,2.37B,2.4B,2.4B
"Property, Plant & Equipment - Gross",-,-,-,4.12B,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,609.73M,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,1.72B,-
Total Investments and Advances,3.25M,3.15M,2.82M,2.67M,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,13.1M,12.87M,12.64M,12.41M,12.18M
Net Goodwill,10.87M,10.87M,10.87M,10.87M,10.87M
Net Other Intangibles,2.23M,2M,-,-,-
Other Assets,59.38M,63.96M,65.42M,71.39M,70.41M
Total Assets,5.09B,4.95B,5.29B,5.34B,5.01B
Total Assets Growth,-,-2.61%,6.72%,1.05%,-6.20%
